Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HP1504101T2D_M17	(1.0, 22.644717720583287)	(2.0, 6.1933264618076524)	(3.0, 3.032250936998221)	(4.0, 1.9696089055828567)	(5.0, 1.4400075593796415)	(6.0, 1.249736768792712)	(7.0, 1.0655714908171592)	(8.0, 0.9345780063133654)	(9.0, 0.8434234126209944)	('>10', 15.52939204647826)	('>50', 7.9960746564995775)	('>100', 18.03807504599278)	('>500', 9.058149654091622)	('>1k', 7.058011817540811)	('>5k', 1.9400559484225925)	('>10k+', 1.0070195680784746)
HP1504101T2D_M18	(1.0, 42.846105281481954)	(2.0, 8.806131443686315)	(3.0, 3.4243261614246436)	(4.0, 1.9455818917454744)	(5.0, 1.3908273919234473)	(6.0, 1.147956185520228)	(7.0, 0.9147465023189071)	(8.0, 0.7397090083135253)	(9.0, 0.6484549742330084)	('>10', 9.168756812151656)	('>50', 4.759371737420394)	('>100', 15.665636440409761)	('>500', 5.032062047226606)	('>1k', 2.739665495561698)	('>5k', 0.7706686265823609)	('>10k+', 0.0)
HP1504101T2D_M19	(1.0, 40.515870386296044)	(2.0, 8.008517109886256)	(3.0, 3.25105104841175)	(4.0, 1.8722821932021123)	(5.0, 1.4093691397708965)	(6.0, 1.1146511483448722)	(7.0, 0.884355444758335)	(8.0, 0.7565553689595742)	(9.0, 0.6104411556727218)	('>10', 9.35821273902179)	('>50', 4.76824374911705)	('>100', 17.24996649618425)	('>500', 5.729842918475033)	('>1k', 4.234453741564509)	('>5k', 0.236187360334766)	('>10k+', 0.0)
HP1504101T2D_M2	(1.0, 43.903054837285)	(2.0, 9.05831848701752)	(3.0, 3.5533346550509872)	(4.0, 1.9423644532422222)	(5.0, 1.434945365933184)	(6.0, 1.0229323173051643)	(7.0, 0.8585064366021398)	(8.0, 0.7503369303526847)	(9.0, 0.6401560394668319)	('>10', 8.82837315682393)	('>50', 4.029750450972407)	('>100', 13.315142593725184)	('>500', 5.224204186511136)	('>1k', 4.749774097705562)	('>5k', 0.6888059920060211)	('>10k+', 0.0)
HP1504101T2D_M20	(1.0, 19.15751647504228)	(2.0, 5.012397782318222)	(3.0, 2.7490078542188545)	(4.0, 1.8678179087659323)	(5.0, 1.5053272021293709)	(6.0, 1.257883826049796)	(7.0, 1.1464512295507818)	(8.0, 1.0361021504771468)	(9.0, 0.9972999303386163)	('>10', 18.384226611420882)	('>50', 9.879431944947147)	('>100', 22.463223099945573)	('>500', 6.608147679776572)	('>1k', 4.285842779769489)	('>5k', 1.455232554138448)	('>10k+', 2.194090971110888)
HP1504101T2D_M21	(1.0, 41.37464418831708)	(2.0, 8.655267645317299)	(3.0, 3.6631148430429326)	(4.0, 2.227663211345648)	(5.0, 1.5191431809748581)	(6.0, 1.150580374940654)	(7.0, 0.8950873971610734)	(8.0, 0.8169650055562453)	(9.0, 0.6719542353600753)	('>10', 9.350437293242768)	('>50', 4.637963801943688)	('>100', 16.12352495678518)	('>500', 4.98446443233724)	('>1k', 2.987625201651586)	('>5k', 0.9415642320237144)	('>10k+', 0.0)
HP1504101T2D_M22	(1.0, 27.132320971005434)	(2.0, 7.625659199726198)	(3.0, 4.082019558011227)	(4.0, 2.599651367956905)	(5.0, 1.9440797306584225)	(6.0, 1.5193698363068635)	(7.0, 1.3157572008940186)	(8.0, 1.0736304957870235)	(9.0, 0.9378293659516393)	('>10', 14.70822858680344)	('>50', 5.832057985731183)	('>100', 13.676916136308053)	('>500', 3.0142714181108197)	('>1k', 4.681218147144224)	('>5k', 1.4691252469069584)	('>10k+', 8.387864752697604)
HP1504101T2D_M23	(1.0, 47.2724317655577)	(2.0, 10.491303571552336)	(3.0, 4.1284691835375265)	(4.0, 2.2412514680067543)	(5.0, 1.4525586430107758)	(6.0, 1.1412146657625057)	(7.0, 0.9211559381493989)	(8.0, 0.7356484367600576)	(9.0, 0.5951971715540001)	('>10', 8.068259995808463)	('>50', 3.9296105880218417)	('>100', 12.630307420739781)	('>500', 3.5741882466384127)	('>1k', 1.9925460269884172)	('>5k', 0.825856877911995)	('>10k+', 0.0)
HP1504101T2D_M24	(1.0, 45.83935388714944)	(2.0, 11.244922721477591)	(3.0, 4.358806552271698)	(4.0, 2.3400977739628055)	(5.0, 1.4569618092008394)	(6.0, 1.091474825196116)	(7.0, 0.8750324573678939)	(8.0, 0.6846775844558072)	(9.0, 0.6233272790997024)	('>10', 7.532509536119468)	('>50', 3.462049757861462)	('>100', 12.321935771322073)	('>500', 4.380297545686386)	('>1k', 2.610158773938145)	('>5k', 0.48711219061899774)	('>10k+', 0.6912815342716259)
HP1504101T2D_M3	(1.0, 59.32762947515565)	(2.0, 7.568084388385757)	(3.0, 2.5625728994297527)	(4.0, 1.4949209457605677)	(5.0, 1.055323981973905)	(6.0, 0.8157538942199788)	(7.0, 0.7506645814353732)	(8.0, 0.5675547408158844)	(9.0, 0.5303134415871279)	('>10', 8.698279283444824)	('>50', 4.926211775765267)	('>100', 9.017130984257955)	('>500', 0.8869947599413783)	('>1k', 1.7985648478266285)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_M4	(1.0, 62.622924640519564)	(2.0, 8.051691464325637)	(3.0, 2.5459773026272465)	(4.0, 1.428052605029088)	(5.0, 1.020477706367043)	(6.0, 0.8005814799047826)	(7.0, 0.7024038357339287)	(8.0, 0.5899036528395684)	(9.0, 0.5080842880855219)	('>10', 8.615529097526517)	('>50', 4.154608828793886)	('>100', 6.454514664046701)	('>500', 0.5727180156775692)	('>1k', 1.3147613577293764)	('>5k', 0.61777106079356)	('>10k+', 0.0)
HP1504101T2D_M5	(1.0, 43.50216329051803)	(2.0, 7.9891086279144705)	(3.0, 3.031137789941167)	(4.0, 1.8483718354127057)	(5.0, 1.3443552678545976)	(6.0, 1.036530450249337)	(7.0, 0.8810460030634891)	(8.0, 0.7396535125884639)	(9.0, 0.6524873857435662)	('>10', 9.585000641806786)	('>50', 4.873380465140428)	('>100', 16.895977135005385)	('>500', 4.176588100745935)	('>1k', 2.778268153180703)	('>5k', 0.6659313408348976)	('>10k+', 0.0)
HP1504101T2D_M6	(1.0, 49.52776399818977)	(2.0, 7.926542475162944)	(3.0, 2.9517391307718013)	(4.0, 1.76660161599793)	(5.0, 1.251241429466731)	(6.0, 0.9906060816797735)	(7.0, 0.7658768166241009)	(8.0, 0.6096333590450624)	(9.0, 0.5784655631073853)	('>10', 9.227885607431583)	('>50', 5.351001212251584)	('>100', 13.924725334955083)	('>500', 2.4868246406131753)	('>1k', 1.1677955299020844)	('>5k', 1.4732972048009723)	('>10k+', 0.0)
HP1504101T2D_M7	(1.0, 54.25759727952959)	(2.0, 10.472627569400066)	(3.0, 4.147737049210282)	(4.0, 2.2965235327260753)	(5.0, 1.5990503284222948)	(6.0, 1.2100965837990993)	(7.0, 0.9980390796089456)	(8.0, 0.7630731359289701)	(9.0, 0.6463828288359365)	('>10', 8.742783679495785)	('>50', 4.050008215390731)	('>100', 8.846715953817611)	('>500', 1.112848029093729)	('>1k', 0.8565167347409157)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_M8	(1.0, 49.749094393061185)	(2.0, 10.142456197517216)	(3.0, 3.7458361478197526)	(4.0, 2.099736078720738)	(5.0, 1.32827107724242)	(6.0, 1.0556709589198086)	(7.0, 0.8268704107727102)	(8.0, 0.6637871436339736)	(9.0, 0.6465115331505177)	('>10', 9.379610739916512)	('>50', 4.534521197254661)	('>100', 10.848725736237265)	('>500', 2.0987976825481693)	('>1k', 0.6765958637706241)	('>5k', 2.2035148394343955)	('>10k+', 0.0)
HP1504101T2D_M9	(1.0, 51.54664664085483)	(2.0, 7.387846029837708)	(3.0, 2.9094284005937885)	(4.0, 1.7367584838093801)	(5.0, 1.2579290262691358)	(6.0, 0.9810695015468113)	(7.0, 0.8606331127730414)	(8.0, 0.7479788834936073)	(9.0, 0.6454573247201755)	('>10', 11.541809266824604)	('>50', 6.304137272342903)	('>100', 12.31071244207953)	('>500', 0.7212495966074706)	('>1k', 1.048344018247045)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_N1	(1.0, 51.492297736676676)	(2.0, 8.393587866763625)	(3.0, 3.07447511733837)	(4.0, 1.8364816873797918)	(5.0, 1.250791056595672)	(6.0, 0.9486091571116108)	(7.0, 0.7881759262878322)	(8.0, 0.6910164528466072)	(9.0, 0.6125384136324532)	('>10', 8.978578455139742)	('>50', 4.940720004306029)	('>100', 12.41037051118717)	('>500', 2.621855169854205)	('>1k', 1.960502444880239)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_N10	(1.0, 43.19019822347001)	(2.0, 9.426893402403548)	(3.0, 3.7366978833671087)	(4.0, 2.1304107745327214)	(5.0, 1.5118592873216141)	(6.0, 1.1309305895891564)	(7.0, 0.9364093363761092)	(8.0, 0.7344937460850447)	(9.0, 0.6340062963289864)	('>10', 10.311821169850825)	('>50', 4.609778986553273)	('>100', 10.601538929000249)	('>500', 4.473835270166836)	('>1k', 4.467380946499855)	('>5k', 1.5729811388400576)	('>10k+', 0.5307640196145621)
HP1504101T2D_N11	(1.0, 24.63928003188582)	(2.0, 6.415960896516502)	(3.0, 3.544212204890372)	(4.0, 2.621301546132362)	(5.0, 2.068156446178067)	(6.0, 1.7255417740954542)	(7.0, 1.5598446942845132)	(8.0, 1.4935252259604619)	(9.0, 1.1767141387805702)	('>10', 18.936044207855886)	('>50', 7.349981640085533)	('>100', 14.690163623338979)	('>500', 4.703835279401752)	('>1k', 3.4109976256271546)	('>5k', 5.6644406649665715)	('>10k+', 0.0)
HP1504101T2D_N12	(1.0, 45.21359793678542)	(2.0, 9.453404146797467)	(3.0, 3.6414581130386274)	(4.0, 1.9519442616493268)	(5.0, 1.385853613561607)	(6.0, 1.0511681850284331)	(7.0, 0.8711276352746976)	(8.0, 0.7218273370032147)	(9.0, 0.6401708522380608)	('>10', 9.065870303589772)	('>50', 3.9905427635721455)	('>100', 13.488811179513965)	('>500', 4.514476269413325)	('>1k', 3.0276469030218562)	('>5k', 0.9821004995121033)	('>10k+', 0.0)
HP1504101T2D_N13	(1.0, 60.48454102014995)	(2.0, 9.773849266216846)	(3.0, 2.946053911101796)	(4.0, 1.6093989589084712)	(5.0, 1.0496726190092298)	(6.0, 0.8457694409798853)	(7.0, 0.6894939555046505)	(8.0, 0.600671586236507)	(9.0, 0.47892707401315265)	('>10', 8.694178213237148)	('>50', 4.013297090439087)	('>100', 6.066253640801126)	('>500', 0.5936361526274168)	('>1k', 0.42096355936931906)	('>5k', 1.733293511405374)	('>10k+', 0.0)
HP1504101T2D_N14	(1.0, 57.349037395943405)	(2.0, 9.169866756011443)	(3.0, 3.25507074559934)	(4.0, 2.257673771294554)	(5.0, 1.7138733537795419)	(6.0, 1.097909847684338)	(7.0, 1.0463647844127728)	(8.0, 0.8041029870364166)	(9.0, 0.6030772402773124)	('>10', 5.574598592819773)	('>50', 0.6314270250766734)	('>100', 3.422592201231927)	('>500', 10.10540965439035)	('>1k', 2.9689956444421535)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_N15	(1.0, 61.88869544055661)	(2.0, 8.832931260032582)	(3.0, 2.9558032163781602)	(4.0, 1.6156536996066555)	(5.0, 1.1252983896933568)	(6.0, 0.8518037399484495)	(7.0, 0.6987134701861307)	(8.0, 0.5894825691252257)	(9.0, 0.5429389074195244)	('>10', 9.17079647472412)	('>50', 4.884368841479926)	('>100', 6.392091550136825)	('>500', 0.4514224407124465)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_N16	(1.0, 46.9425885086799)	(2.0, 9.497708501903539)	(3.0, 3.5170521354981235)	(4.0, 1.930722457421879)	(5.0, 1.3038102609582636)	(6.0, 0.9317832947273612)	(7.0, 0.7408177267822332)	(8.0, 0.6373510989740573)	(9.0, 0.5822288856389067)	('>10', 7.9389011520996196)	('>50', 3.274825710804461)	('>100', 9.610875441195095)	('>500', 4.961782960845422)	('>1k', 7.757368063855463)	('>5k', 0.3721838006156962)	('>10k+', 0.0)
HP1504101T2D_N17	(1.0, 47.89475825237751)	(2.0, 11.053880555377031)	(3.0, 4.270983167209651)	(4.0, 2.3037677966849888)	(5.0, 1.4914871052657659)	(6.0, 1.2147834640830364)	(7.0, 0.9915119212605409)	(8.0, 0.7523401530277781)	(9.0, 0.6256242352839956)	('>10', 8.739188849930184)	('>50', 4.102003477031868)	('>100', 11.638033278707502)	('>500', 2.866829329234787)	('>1k', 0.9206589723085549)	('>5k', 1.1341494422168201)	('>10k+', 0.0)
HP1504101T2D_N18	(1.0, 26.817923411953952)	(2.0, 7.954255423704313)	(3.0, 4.119144984341694)	(4.0, 2.79558319552255)	(5.0, 1.99514751328729)	(6.0, 1.5603327882556521)	(7.0, 1.330609997910392)	(8.0, 1.1128149362181403)	(9.0, 1.0275147712751624)	('>10', 13.601758916766906)	('>50', 4.790452322389721)	('>100', 10.886947586582119)	('>500', 2.9546821363299633)	('>1k', 5.916101662094039)	('>5k', 0.0)	('>10k+', 13.136730353368078)
HP1504101T2D_N19	(1.0, 53.13434148972361)	(2.0, 10.890046814934603)	(3.0, 3.9691637133931486)	(4.0, 2.11785156057103)	(5.0, 1.3693083072610361)	(6.0, 1.0259273798269959)	(7.0, 0.8243743757359469)	(8.0, 0.7252626729732634)	(9.0, 0.6453620539183559)	('>10', 8.726030819731752)	('>50', 3.9869222246960248)	('>100', 9.092092840478967)	('>500', 1.6263333419663197)	('>1k', 0.6145369986397933)	('>5k', 1.252445406149129)	('>10k+', 0.0)
HP1504101T2D_N2	(1.0, 58.53345329352848)	(2.0, 8.807939364473953)	(3.0, 2.919714394173904)	(4.0, 1.636712582781169)	(5.0, 1.1727836903751956)	(6.0, 0.8336956427808623)	(7.0, 0.716243062904522)	(8.0, 0.6189365695457406)	(9.0, 0.5573529223256944)	('>10', 9.307534900934321)	('>50', 4.531608753997743)	('>100', 6.411186365035874)	('>500', 0.723188197839342)	('>1k', 0.41561182961542587)	('>5k', 2.8140384296877796)	('>10k+', 0.0)
HP1504101T2D_N20	(1.0, 44.436305822035635)	(2.0, 12.392435307608752)	(3.0, 4.947400896135033)	(4.0, 2.546889941122118)	(5.0, 1.5592900712668791)	(6.0, 1.1124532419727096)	(7.0, 0.8566040045497247)	(8.0, 0.6774267321206763)	(9.0, 0.5644314182442214)	('>10', 8.315808021526118)	('>50', 3.4817548446346733)	('>100', 9.039050215458694)	('>500', 3.330601710012827)	('>1k', 4.3561393817858916)	('>5k', 0.35460907117825197)	('>10k+', 2.02879932034778)
HP1504101T2D_N21	(1.0, 51.62275321476704)	(2.0, 7.178859788228413)	(3.0, 2.6102881121680213)	(4.0, 1.5790121888359094)	(5.0, 1.0510834261103836)	(6.0, 0.9098004461725685)	(7.0, 0.7726222898376142)	(8.0, 0.6070444516934549)	(9.0, 0.5606429196229152)	('>10', 8.46523514790333)	('>50', 3.4961102376484274)	('>100', 9.766818386200297)	('>500', 6.13811392328641)	('>1k', 5.241615467525229)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_N22	(1.0, 46.52687631032946)	(2.0, 11.618776177235187)	(3.0, 4.6651337567281495)	(4.0, 2.565562688770548)	(5.0, 1.697681905984262)	(6.0, 1.273118420677617)	(7.0, 1.0253577947626098)	(8.0, 0.8217953887446073)	(9.0, 0.76228636011615)	('>10', 9.287363821018213)	('>50', 4.140882717928021)	('>100', 11.053368358786893)	('>500', 2.4311785127978913)	('>1k', 0.5688386598665438)	('>5k', 1.5617791262538487)	('>10k+', 0.0)
HP1504101T2D_N23	(1.0, 36.08710708160444)	(2.0, 8.193771566285944)	(3.0, 3.6574688256339534)	(4.0, 2.2804630914473534)	(5.0, 1.774957581541965)	(6.0, 1.3613289780331892)	(7.0, 1.1761674097043873)	(8.0, 1.0628429222072981)	(9.0, 0.9180193736326608)	('>10', 14.749100185850397)	('>50', 5.890453296575101)	('>100', 10.579144869583104)	('>500', 2.6094196864866044)	('>1k', 2.0365519184924974)	('>5k', 1.1614228685103019)	('>10k+', 6.461780344410789)
HP1504101T2D_N24	(1.0, 48.996250045163734)	(2.0, 11.419274201844711)	(3.0, 4.3835614948197055)	(4.0, 2.3275853148176116)	(5.0, 1.4909342552694917)	(6.0, 1.0982873521754275)	(7.0, 0.8379415681158797)	(8.0, 0.6987772109469372)	(9.0, 0.57851631275347)	('>10', 8.010984033189171)	('>50', 3.644987123845002)	('>100', 10.764877448945995)	('>500', 3.034654341581297)	('>1k', 1.0585356734530678)	('>5k', 0.6468426048120796)	('>10k+', 1.0079910182664809)
HP1504101T2D_N3	(1.0, 36.793963784521985)	(2.0, 7.743088796431991)	(3.0, 3.9622872646924048)	(4.0, 2.437353393556349)	(5.0, 1.9464344859189755)	(6.0, 1.641538454558241)	(7.0, 1.4006161440633749)	(8.0, 1.2159544107838822)	(9.0, 0.9677726709709032)	('>10', 12.542025290036888)	('>50', 4.063919275145982)	('>100', 7.040739009904584)	('>500', 4.324351301933277)	('>1k', 3.6260849443973084)	('>5k', 10.293870773083851)	('>10k+', 0.0)
HP1504101T2D_N4	(1.0, 25.79319354081253)	(2.0, 6.70889791189915)	(3.0, 3.633783261735028)	(4.0, 2.526865016643077)	(5.0, 1.9537596062290992)	(6.0, 1.6444816256966692)	(7.0, 1.3962237532728474)	(8.0, 1.200515695631174)	(9.0, 1.1358935958031224)	('>10', 16.63201193295797)	('>50', 5.801971312437274)	('>100', 10.532078481154615)	('>500', 3.4398019397668462)	('>1k', 5.443570060019379)	('>5k', 0.0)	('>10k+', 12.156952265941214)
HP1504101T2D_N5	(1.0, 53.829801079121644)	(2.0, 9.810912808335242)	(3.0, 3.4076574901485914)	(4.0, 1.8098135106088418)	(5.0, 1.1340198679672986)	(6.0, 0.878099548168275)	(7.0, 0.7003623995846344)	(8.0, 0.6130939327240501)	(9.0, 0.5123974067349713)	('>10', 7.642476934823297)	('>50', 4.1580852598107985)	('>100', 10.49402411543086)	('>500', 2.6291571103678977)	('>1k', 1.0506216751901316)	('>5k', 1.3294768609835224)	('>10k+', 0.0)
HP1504101T2D_N6	(1.0, 45.28566204175987)	(2.0, 8.702779239439009)	(3.0, 3.4687477384778913)	(4.0, 1.9842467822334735)	(5.0, 1.4012426706960175)	(6.0, 1.0675935553522273)	(7.0, 0.8365675961609846)	(8.0, 0.707989497118124)	(9.0, 0.6103982856525465)	('>10', 7.8989350168720645)	('>50', 4.0131650860761905)	('>100', 13.690829906113313)	('>500', 5.067175382646165)	('>1k', 5.2646672014021485)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_N7	(1.0, 60.50891742125244)	(2.0, 9.817639714459677)	(3.0, 3.824392728377065)	(4.0, 2.116733872025701)	(5.0, 1.4684936769113097)	(6.0, 1.0644867448963058)	(7.0, 0.8668940908441972)	(8.0, 0.7201425320011297)	(9.0, 0.5587733999049547)	('>10', 8.615625609447818)	('>50', 3.576376964405845)	('>100', 4.179521192651628)	('>500', 0.5340322407618627)	('>1k', 0.8326405423318927)	('>5k', 1.3153292697281656)	('>10k+', 0.0)
HP1504101T2D_N8	(1.0, 45.813557659344504)	(2.0, 10.490214839095584)	(3.0, 4.444737985137325)	(4.0, 2.472829364667375)	(5.0, 1.6593881114692577)	(6.0, 1.3291642224787537)	(7.0, 1.0684857257415366)	(8.0, 0.8449701073018913)	(9.0, 0.7798519899546891)	('>10', 9.570821872721265)	('>50', 4.2395766347534485)	('>100', 11.834082980483082)	('>500', 2.941187809983913)	('>1k', 0.9277405465617333)	('>5k', 0.6472927390645057)	('>10k+', 0.9360974112411281)
HP1504101T2D_N9	(1.0, 44.48347025155628)	(2.0, 8.237507049149919)	(3.0, 3.037736734837741)	(4.0, 1.6765696553801466)	(5.0, 1.1446787680375274)	(6.0, 0.8887942605469964)	(7.0, 0.6749677522938438)	(8.0, 0.5581152509137728)	(9.0, 0.48268096256602067)	('>10', 7.152161710371249)	('>50', 3.886253561670628)	('>100', 12.602855633892956)	('>500', 6.985978572229919)	('>1k', 7.516901423263003)	('>5k', 0.6713284132900141)	('>10k+', 0.0)
HP1504101T2D_O1	(1.0, 46.51971836719176)	(2.0, 9.31606520617022)	(3.0, 3.2552109512121534)	(4.0, 1.7958710996963039)	(5.0, 1.3417014360468777)	(6.0, 1.0856031123289156)	(7.0, 1.0014053118027357)	(8.0, 0.8346132055284752)	(9.0, 0.7862460058907104)	('>10', 13.436493115229679)	('>50', 5.741492047755332)	('>100', 8.705664717380497)	('>500', 1.9606436924474935)	('>1k', 1.4913572247555158)	('>5k', 2.7279145065633092)	('>10k+', 0.0)
HP1504101T2D_O10	(1.0, 49.395953530926306)	(2.0, 10.500364566290232)	(3.0, 4.1237187291892425)	(4.0, 2.279084546197998)	(5.0, 1.5055149345685042)	(6.0, 1.051067877413227)	(7.0, 0.8891281499563373)	(8.0, 0.6660673059196885)	(9.0, 0.5891551991832199)	('>10', 8.395974010989002)	('>50', 4.396768242501605)	('>100', 12.12068225404331)	('>500', 2.469363183244062)	('>1k', 0.9733299115729442)	('>5k', 0.643827558004331)	('>10k+', 0.0)
HP1504101T2D_O11	(1.0, 50.521420129848394)	(2.0, 9.596080932233992)	(3.0, 3.367549596952225)	(4.0, 1.738794477056386)	(5.0, 1.2406420188214358)	(6.0, 0.8634548502822115)	(7.0, 0.704030692637104)	(8.0, 0.639480977012607)	(9.0, 0.5366785645341429)	('>10', 7.831524232383898)	('>50', 3.96915961475713)	('>100', 11.972790725640408)	('>500', 4.110780268141288)	('>1k', 2.907612919698756)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_O12	(1.0, 44.75075067007487)	(2.0, 9.768878347600017)	(3.0, 4.230580036650599)	(4.0, 2.485634955774617)	(5.0, 1.7202153175579409)	(6.0, 1.2913541484717102)	(7.0, 1.0524820009551203)	(8.0, 0.8510705785446165)	(9.0, 0.770873670760104)	('>10', 10.766369034828463)	('>50', 4.64561469457125)	('>100', 11.350580953234347)	('>500', 3.5838869721705344)	('>1k', 1.9405179731691127)	('>5k', 0.791190645636625)	('>10k+', 0.0)
HP1504101T2D_O13	(1.0, 54.7456408002962)	(2.0, 12.147393701122377)	(3.0, 4.607927044838029)	(4.0, 2.505919199375331)	(5.0, 1.477412719225605)	(6.0, 1.165863823221979)	(7.0, 0.8707614063710691)	(8.0, 0.6992635497122788)	(9.0, 0.5873920910645541)	('>10', 7.485411388406152)	('>50', 3.491333029376653)	('>100', 7.610827884549036)	('>500', 1.2871584882334748)	('>1k', 0.6138927191729618)	('>5k', 0.7038021550342682)	('>10k+', 0.0)
HP1504101T2D_O14	(1.0, 46.14170096581956)	(2.0, 9.714333184851197)	(3.0, 3.609090898012304)	(4.0, 1.961600612676348)	(5.0, 1.345543882140257)	(6.0, 1.0179114293355642)	(7.0, 0.8535701838909855)	(8.0, 0.7079587878428081)	(9.0, 0.58013220852153)	('>10', 9.022342077109027)	('>50', 4.703966487561576)	('>100', 14.214157293511317)	('>500', 3.4973524789058437)	('>1k', 1.6557892597798638)	('>5k', 0.9745502500418628)	('>10k+', 0.0)
HP1504101T2D_O15	(1.0, 47.135062661775386)	(2.0, 10.351762537010483)	(3.0, 4.242937747900412)	(4.0, 2.6070278020893465)	(5.0, 1.7318113256736374)	(6.0, 1.4357274538649187)	(7.0, 1.140574663414089)	(8.0, 0.960875961341502)	(9.0, 0.8295934898791456)	('>10', 10.200927357032457)	('>50', 2.8044170499618257)	('>100', 4.142380961248394)	('>500', 2.079104672166254)	('>1k', 10.337796316642148)	('>5k', 0.0)	('>10k+', 0.0)
HP1504101T2D_O16	(1.0, 53.35227212462373)	(2.0, 9.488258373122825)	(3.0, 3.607317196447115)	(4.0, 2.1428143540146065)	(5.0, 1.3986633653619174)	(6.0, 1.0911076412015939)	(7.0, 0.8439559614713826)	(8.0, 0.7195374321970613)	(9.0, 0.5894028463699528)	('>10', 8.076702615663436)	('>50', 4.298302131938564)	('>100', 11.015805383970342)	('>500', 2.2880641561923754)	('>1k', 0.8037313871640435)	('>5k', 0.28406503026097596)	('>10k+', 0.0)
HP1504101T2D_O17	(1.0, 13.529715615320567)	(2.0, 3.2758093508634234)	(3.0, 1.742690780913834)	(4.0, 1.2111343642997048)	(5.0, 0.9794466934773881)	(6.0, 0.8584830673063802)	(7.0, 0.7682816035529308)	(8.0, 0.7341710007362151)	(9.0, 0.6827108969860808)	('>10', 14.501688072886026)	('>50', 9.161633388623834)	('>100', 27.091697016145154)	('>500', 9.725096072136912)	('>1k', 13.311789835776326)	('>5k', 2.425652240975232)	('>10k+', 0.0)
HP1504101T2D_O18	(1.0, 32.18913316818765)	(2.0, 7.9335701900504)	(3.0, 3.842313751695481)	(4.0, 2.4884031594584575)	(5.0, 1.8899907547370438)	(6.0, 1.5081090246813444)	(7.0, 1.2931244522657888)	(8.0, 1.1500315855764982)	(9.0, 0.9490118838649376)	('>10', 15.090830932115015)	('>50', 5.398282241215066)	('>100', 11.271218210816055)	('>500', 2.4595833069618664)	('>1k', 4.381892442279116)	('>5k', 1.4388854677034515)	('>10k+', 6.715619428391814)
HP1504101T2D_O19	(1.0, 56.99402168962523)	(2.0, 12.419641163930569)	(3.0, 3.9421235764961504)	(4.0, 1.8540523837661507)	(5.0, 1.0114881026879858)	(6.0, 0.8326586446275585)	(7.0, 0.6774916461853805)	(8.0, 0.5858076950747696)	(9.0, 0.5257512141797758)	('>10', 8.277768512205224)	('>50', 3.397600444453793)	('>100', 4.6882905282903105)	('>500', 0.8416752197395532)	('>1k', 1.3140812097556822)	('>5k', 1.5258817761403969)	('>10k+', 1.1116661928414866)
HP1504101T2D_O2	(1.0, 19.47742350971212)	(2.0, 5.053636810812498)	(3.0, 2.7122076964700166)	(4.0, 1.9994047867343558)	(5.0, 1.5391276284458282)	(6.0, 1.3647648544334468)	(7.0, 1.2917629145146028)	(8.0, 1.1118450192605707)	(9.0, 1.044976972325861)	('>10', 19.98045160031272)	('>50', 10.981460804722516)	('>100', 20.723750066684442)	('>500', 7.200577213481152)	('>1k', 2.549977565388548)	('>5k', 2.9686325567013108)	('>10k+', 0.0)
HP1504101T2D_O20	(1.0, 50.24587789285426)	(2.0, 10.477911558872153)	(3.0, 3.937088395451982)	(4.0, 2.1730160214657883)	(5.0, 1.491040743016244)	(6.0, 1.0413356297679472)	(7.0, 0.843522878730541)	(8.0, 0.7217393412542326)	(9.0, 0.5935371572881152)	('>10', 8.432240442769878)	('>50', 4.098326791367693)	('>100', 11.529272916812923)	('>500', 2.826221254835943)	('>1k', 0.5898494547904445)	('>5k', 0.9990195207218824)	('>10k+', 0.0)
HP1504101T2D_O21	(1.0, 37.51142451642974)	(2.0, 8.997070446240645)	(3.0, 3.7217918654588247)	(4.0, 2.086350155998332)	(5.0, 1.4417184923565352)	(6.0, 1.1749508860872049)	(7.0, 0.988545486064042)	(8.0, 0.898961359584292)	(9.0, 0.7610502026568233)	('>10', 12.979874355005439)	('>50', 5.591888684033792)	('>100', 11.0695885908172)	('>500', 3.3850299084640127)	('>1k', 2.2734936118180564)	('>5k', 0.0)	('>10k+', 7.118261438985043)
HP1504101T2D_O22	(1.0, 44.11899964045433)	(2.0, 10.523166155818762)	(3.0, 4.406430729332459)	(4.0, 2.541302148443271)	(5.0, 1.7299657242458386)	(6.0, 1.3249931943152662)	(7.0, 1.0820655455358377)	(8.0, 0.8815291981640241)	(9.0, 0.7206395193388156)	('>10', 10.21868756832583)	('>50', 4.953296378106322)	('>100', 12.229769458610004)	('>500', 3.2049869662983475)	('>1k', 1.257024302870502)	('>5k', 0.8071434701403489)	('>10k+', 0.0)
