Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
HP1502401_K6 - polya	(1, 0.0015712498978687566)	(2, 0.0019378748740381331)	(3, 0.0019902498706337586)	(4, 0.002671124826376886)	(5, 0.00481849968679752)	(6, 0.006127874601688151)	(7, 0.007175374533600655)	(8, 0.008641874438278161)	(9, 0.010998749285081296)	(10, 0.02115949862463259)	(11, 0.033572372817795765)	(12, 0.04876112183052708)	(13, 0.06300712090453714)	(14, 0.08050036976747596)	(15, 0.11616774244909674)	(16, 0.1549252399298594)	(17, 0.17823211341491263)	(18, 0.2054147366480421)	(19, 0.24501023407433478)	(20, 0.2664316076819455)	(21, 0.28371535655850183)	(22, 0.3044034802137738)	(23, 0.33279072836860263)	(24, 0.3708673508936222)	(25, 0.4058014736229042)	(26, 0.44078797134878184)	(27, 0.4703798444253101)	(28, 0.5000240924984339)	(29, 0.5194552162354109)	(30, 0.5459045895162017)	(31, 0.5699447129535936)	(32, 0.590161461639505)
HP1502401_K9 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 5.089693116953513e-05)	(12, 5.089693116953513e-05)	(13, 5.089693116953513e-05)	(14, 5.089693116953513e-05)	(15, 0.00010179386233907026)	(16, 0.00040717544935628104)	(17, 0.0005598662428648864)	(18, 0.0005598662428648864)	(19, 0.0006107631740344216)	(20, 0.0006107631740344216)	(21, 0.0009670416922211675)	(22, 0.001526907935086054)	(23, 0.002646640420815827)	(24, 0.003562785181867459)	(25, 0.004173548355901881)	(26, 0.005242383910462119)	(27, 0.008499787505312367)	(28, 0.019697112362610097)	(29, 0.037816419858964605)	(30, 0.06290860692554542)	(31, 0.15981636387234033)	(32, 0.3175968504978992)
HP1502401_K9 - polya	(1, 0.00020358772467814052)	(2, 0.0003053815870172108)	(3, 0.0003053815870172108)	(4, 0.0005598662428648864)	(5, 0.0010179386233907027)	(6, 0.0012724232792383783)	(7, 0.001526907935086054)	(8, 0.0018322895221032649)	(9, 0.0022394649714595457)	(10, 0.004275342218240951)	(11, 0.007023776501395848)	(12, 0.010077592371567957)	(13, 0.013640377553435416)	(14, 0.01873007067038893)	(15, 0.026822682726345016)	(16, 0.03802000758364275)	(17, 0.04361867001229161)	(18, 0.05247473603579072)	(19, 0.06453730872297055)	(20, 0.07247722998541803)	(21, 0.07919562489979666)	(22, 0.08621940140119251)	(23, 0.09482098276884396)	(24, 0.10698534931836284)	(25, 0.11869164348735593)	(26, 0.13273919649014762)	(27, 0.14276589193054603)	(28, 0.1521309272657405)	(29, 0.16042712704637474)	(30, 0.16979216238156922)	(31, 0.17951347623495043)	(32, 0.18796236680909326)
HP1502401_L1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 3.520045957720024e-05)	(10, 7.040091915440048e-05)	(11, 7.040091915440048e-05)	(12, 7.040091915440048e-05)	(13, 7.040091915440048e-05)	(14, 0.00010560137873160072)	(15, 0.0001760022978860012)	(16, 0.0003520045957720024)	(17, 0.0005632073532352038)	(18, 0.0006336082723896043)	(19, 0.000739209651121205)	(20, 0.0009152119490072062)	(21, 0.0011264147064704076)	(22, 0.001619221140551211)	(23, 0.0021824284937864147)	(24, 0.003238442281102422)	(25, 0.0038720505534920262)	(26, 0.004646460664190432)	(27, 0.01034893511569687)	(28, 0.027209955253175787)	(29, 0.051744675578484355)	(30, 0.08455150390443497)	(31, 0.20803471610125343)	(32, 0.3950195573753411)
HP1502401_L1 - polya	(1, 0.002041626655477614)	(2, 0.002499232629981217)	(3, 0.002780836306598819)	(4, 0.003238442281102422)	(5, 0.004646460664190432)	(6, 0.005526472153620438)	(7, 0.006652886860090845)	(8, 0.007427296970789251)	(9, 0.008624112596414059)	(10, 0.01619221140551211)	(11, 0.024112314810382163)	(12, 0.03344043659834023)	(13, 0.04516218963754791)	(14, 0.058890368872656)	(15, 0.08617072504498619)	(16, 0.11644312028137839)	(17, 0.1313681151421113)	(18, 0.15016516055633622)	(19, 0.1750166850178396)	(20, 0.1921593088319361)	(21, 0.20831631977787102)	(22, 0.22229090223001952)	(23, 0.24309437384014485)	(24, 0.27188834977429466)	(25, 0.297795888023114)	(26, 0.32715307131049903)	(27, 0.3504557755506056)	(28, 0.37421608576521576)	(29, 0.3936819399114075)	(30, 0.4161750335812384)	(31, 0.4372601088679814)	(32, 0.4545435345203867)
HP1502401_L10 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 3.9069443983207954e-05)	(5, 7.813888796641591e-05)	(6, 7.813888796641591e-05)	(7, 7.813888796641591e-05)	(8, 7.813888796641591e-05)	(9, 0.00011720833194962386)	(10, 0.00015627777593283182)	(11, 0.00031255555186566363)	(12, 0.00035162499584887155)	(13, 0.0004688333277984954)	(14, 0.0006251111037313273)	(15, 0.000859527767630575)	(16, 0.001601847203311526)	(17, 0.0023832360829756853)	(18, 0.0027739305228077645)	(19, 0.003320902738572676)	(20, 0.0037506666223879634)	(21, 0.004922749941884202)	(22, 0.007774819352658383)	(23, 0.010197124879617275)	(24, 0.014025930389971655)	(25, 0.015901263701165638)	(26, 0.020237971983301718)	(27, 0.03508436069692074)	(28, 0.07192684637308584)	(29, 0.12385013742676922)	(30, 0.1935500254928122)	(31, 0.354711481923545)	(32, 0.587682576395414)
HP1502401_L10 - polya	(1, 0.008985972116137829)	(2, 0.01050968043148294)	(3, 0.013283610954290703)	(4, 0.01566684703726639)	(5, 0.021449124746781165)	(6, 0.025121652481202714)	(7, 0.02863790243969143)	(8, 0.03281833294589468)	(9, 0.036881555120148304)	(10, 0.0555176799001385)	(11, 0.07700587409090287)	(12, 0.10361216544346749)	(13, 0.13783699837275765)	(14, 0.18155570618996736)	(15, 0.24703609430582388)	(16, 0.3340046766124448)	(17, 0.3856544815582457)	(18, 0.45066603634630376)	(19, 0.5261872715658447)	(20, 0.5793607848269907)	(21, 0.6238999509678478)	(22, 0.6892631307517547)	(23, 0.7471249772908857)	(24, 0.8223727264025442)	(25, 0.8804299201615913)	(26, 0.9526693220865428)	(27, 1.0154148491235746)	(28, 1.0772617789489929)	(29, 1.1224651256375644)	(30, 1.174036791695399)	(31, 1.2253740410893343)	(32, 1.2688583322426448)
HP1502401_L11 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00010081824084267918)	(18, 0.00010081824084267918)	(19, 0.0003024547225280376)	(20, 0.00040327296337071673)	(21, 0.0005040912042133959)	(22, 0.0005040912042133959)	(23, 0.0008065459267414335)	(24, 0.0013106371309548294)	(25, 0.0013106371309548294)	(26, 0.002318819539381621)	(27, 0.00494009380129128)	(28, 0.019155465760109045)	(29, 0.04809030088195797)	(30, 0.08307423045436765)	(31, 0.2756370704638849)	(32, 0.5735549721540019)
HP1502401_L11 - polya	(1, 0.00020163648168535837)	(2, 0.00040327296337071673)	(3, 0.0005040912042133959)	(4, 0.0005040912042133959)	(5, 0.0007057276858987543)	(6, 0.0009073641675841126)	(7, 0.0010081824084267918)	(8, 0.001109000649269471)	(9, 0.0013106371309548294)	(10, 0.0029237289844376963)	(11, 0.003931911392864488)	(12, 0.004839275560448601)	(13, 0.006855640377302185)	(14, 0.009476914639211843)	(15, 0.015021917885559198)	(16, 0.01976037520516512)	(17, 0.022986558912130854)	(18, 0.026716833823309985)	(19, 0.030850381697859832)	(20, 0.03458065660903896)	(21, 0.03821011327937541)	(22, 0.04123466050465579)	(23, 0.04708211847353118)	(24, 0.05454266829588944)	(25, 0.0614991269140343)	(26, 0.06936294969976328)	(27, 0.07490795294611063)	(28, 0.07954559202487388)	(29, 0.08498977703037855)	(30, 0.09063559851756858)	(31, 0.0958781470413879)	(32, 0.10142315028773526)
HP1502401_L12 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 4.81430966891511e-05)	(10, 0.0001444292900674533)	(11, 0.0001444292900674533)	(12, 0.0001444292900674533)	(13, 0.0001444292900674533)	(14, 0.0001444292900674533)	(15, 0.0001444292900674533)	(16, 0.0003370016768240577)	(17, 0.0005295740635806621)	(18, 0.0006258602569589643)	(19, 0.0008184326437155687)	(20, 0.0010110050304721731)	(21, 0.0013480067072962308)	(22, 0.0017812945774985905)	(23, 0.002792299607970764)	(24, 0.004477307992091052)	(25, 0.0050068820556717145)	(26, 0.006258602569589643)	(27, 0.009291617661006162)	(28, 0.01973866964255195)	(29, 0.03976619786523881)	(30, 0.07033706426284975)	(31, 0.18848022353802654)	(32, 0.3738792888879474)
HP1502401_L12 - polya	(1, 0.001396149803985382)	(2, 0.0017331514808094396)	(3, 0.0018775807708768927)	(4, 0.0026478703179033105)	(5, 0.00438102179871275)	(6, 0.005777171602698132)	(7, 0.006403031859657096)	(8, 0.007173321406683513)	(9, 0.0087620435974255)	(10, 0.019497954159106195)	(11, 0.0329780212320685)	(12, 0.04804681049577279)	(13, 0.06523389601379974)	(14, 0.09489004357431681)	(15, 0.1647938199669642)	(16, 0.2566508484498645)	(17, 0.2991612028263849)	(18, 0.3379645387578407)	(19, 0.4371874610341811)	(20, 0.4827789735988072)	(21, 0.511375973032163)	(22, 0.5384323933714659)	(23, 0.5899936499255467)	(24, 0.6708259092666314)	(25, 0.7327379316088797)	(26, 0.8052895783194304)	(27, 0.8757710718723476)	(28, 0.9470709980689804)	(29, 0.9897739248322575)	(30, 1.0416721830631623)	(31, 1.078212793450228)	(32, 1.111046385392229)
HP1502401_L13 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0001325932860063698)	(17, 0.0001325932860063698)	(18, 0.0001325932860063698)	(19, 0.0001325932860063698)	(20, 0.0001325932860063698)	(21, 0.0005303731440254792)	(22, 0.0010607462880509583)	(23, 0.0013259328600636977)	(24, 0.002254085862108286)	(25, 0.0026518657201273954)	(26, 0.004110391866197463)	(27, 0.007955597160382187)	(28, 0.023866791481146562)	(29, 0.046805429960248536)	(30, 0.08141227760791105)	(31, 0.2101603583200961)	(32, 0.39075241386077175)
HP1502401_L14 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00015794644351993127)	(15, 0.000210595258026575)	(16, 0.00042119051605315)	(17, 0.0007370834030930126)	(18, 0.0007897322175996563)	(19, 0.0010529762901328751)	(20, 0.0011582739191461626)	(21, 0.0017374108787192438)	(22, 0.002579791910825544)	(23, 0.0035274705719451314)	(24, 0.005106935007144444)	(25, 0.006054613668264031)	(26, 0.00784467336148992)	(27, 0.015531400279459907)	(28, 0.04064488479912898)	(29, 0.07597223933308693)	(30, 0.11535355258405647)	(31, 0.22696903933814122)	(32, 0.3834939648663931)
HP1502401_L14 - polya	(1, 0.0020533037657591065)	(2, 0.002579791910825544)	(3, 0.0028956847978654065)	(4, 0.004159256346024856)	(5, 0.00615991129727732)	(6, 0.0074234828454367695)	(7, 0.008739703208102863)	(8, 0.010161221199782244)	(9, 0.012161876151034708)	(10, 0.021270121060684075)	(11, 0.032747562623132415)	(12, 0.046225659136833214)	(13, 0.06017759498109381)	(14, 0.07660402510716666)	(15, 0.10266518828795532)	(16, 0.138624328595993)	(17, 0.15878882455203755)	(18, 0.1879562677887182)	(19, 0.2178081456139852)	(20, 0.24508023152842667)	(21, 0.27645892497438634)	(22, 0.29941380809928303)	(23, 0.3248958343204986)	(24, 0.36464568927301466)	(25, 0.39981509736345267)	(26, 0.4368798627761299)	(27, 0.4667843894159035)	(28, 0.49826838049087646)	(29, 0.5254351687763047)	(30, 0.5580247849559171)	(31, 0.5907723475790496)	(32, 0.6148328558085857)
HP1502401_L15 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 5.838430769931381e-05)	(5, 5.838430769931381e-05)	(6, 5.838430769931381e-05)	(7, 5.838430769931381e-05)	(8, 5.838430769931381e-05)	(9, 0.00011676861539862762)	(10, 0.00011676861539862762)	(11, 0.00011676861539862762)	(12, 0.00017515292309794143)	(13, 0.00023353723079725525)	(14, 0.00023353723079725525)	(15, 0.00035030584619588287)	(16, 0.0004670744615945105)	(17, 0.0005254587692938243)	(18, 0.0005254587692938243)	(19, 0.0005254587692938243)	(20, 0.0007006116923917657)	(21, 0.0008757646154897072)	(22, 0.0011676861539862762)	(23, 0.0019850664617766696)	(24, 0.0025689095387698077)	(25, 0.003094368308063632)	(26, 0.0042036701543505944)	(27, 0.009458257847288837)	(28, 0.02422948769521523)	(29, 0.04851735969812977)	(30, 0.07794305077858393)	(31, 0.18297642032964948)	(32, 0.3448177212721474)
HP1502401_L15 - polya	(1, 0.0019266821540773558)	(2, 0.0022769880002732387)	(3, 0.0023937566156718663)	(4, 0.0026272938464691215)	(5, 0.004145285846651281)	(6, 0.005021050462140988)	(7, 0.006305505231525892)	(8, 0.006830964000819716)	(9, 0.008232187385603247)	(10, 0.01593891600191267)	(11, 0.024463024926012485)	(12, 0.0338045141579027)	(13, 0.04664906185175173)	(14, 0.06381404831535)	(15, 0.10386568339707927)	(16, 0.14566884770978794)	(17, 0.16481890063516288)	(18, 0.1902744587920637)	(19, 0.22612242371944238)	(20, 0.24871715079907683)	(21, 0.26821750957064766)	(22, 0.28853524865000885)	(23, 0.3154504144993925)	(24, 0.3526412185038554)	(25, 0.38667926989255536)	(26, 0.42468745420480863)	(27, 0.45691559205482984)	(28, 0.49305547852070514)	(29, 0.517401734831319)	(30, 0.548111880681158)	(31, 0.574151281915052)	(32, 0.5986726911487638)
HP1502401_L16 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 6.438403790932153e-05)	(12, 6.438403790932153e-05)	(13, 0.0002575361516372861)	(14, 0.0003219201895466076)	(15, 0.0005150723032745722)	(16, 0.0008369924928211798)	(17, 0.0012232967202771088)	(18, 0.0013520647960957519)	(19, 0.0019315211372796456)	(20, 0.0023178253647355746)	(21, 0.0030260497817381116)	(22, 0.003734274198740648)	(23, 0.004893186881108435)	(24, 0.0072753962837533315)	(25, 0.008627461079849083)	(26, 0.010816518368766015)	(27, 0.020602892130982885)	(28, 0.05292367916146229)	(29, 0.09625413667443568)	(30, 0.1668834262609614)	(31, 0.3804452800061809)	(32, 0.6757748618962387)
HP1502401_L16 - polya	(1, 0.005021954956927079)	(2, 0.006760323980478759)	(3, 0.007661700511209261)	(4, 0.00978637376221687)	(5, 0.015452169098237165)	(6, 0.01731930619760749)	(7, 0.019765899638161707)	(8, 0.02150426866171339)	(9, 0.02620430342909386)	(10, 0.05247299089609704)	(11, 0.08846366808740777)	(12, 0.12574202603690493)	(13, 0.16508067319950037)	(14, 0.22367014769698296)	(15, 0.3501203981508904)	(16, 0.5382505569219279)	(17, 0.6054031084613503)	(18, 0.6694652261811251)	(19, 0.84645694639385)	(20, 0.9200479017242046)	(21, 0.957583795825339)	(22, 0.9981457397082115)	(23, 1.0804929241942338)	(24, 1.2241980968078394)	(25, 1.3218686823162802)	(26, 1.4351202049987768)	(27, 1.5403881069805174)	(28, 1.6501628916159106)	(29, 1.7026358825120076)	(30, 1.7826652416332942)	(31, 1.8367478334771243)	(32, 1.8789837623456394)
HP1502401_L17 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00023634664805305508)	(11, 0.00023634664805305508)	(12, 0.00023634664805305508)	(13, 0.0003151288640707401)	(14, 0.0003151288640707401)	(15, 0.00039391108008842514)	(16, 0.00047269329610611017)	(17, 0.00047269329610611017)	(18, 0.0005514755121237952)	(19, 0.0006302577281414802)	(20, 0.0006302577281414802)	(21, 0.0008666043761945354)	(22, 0.0010241688082299053)	(23, 0.0014180798883183306)	(24, 0.002127119832477496)	(25, 0.002599813128583606)	(26, 0.004017893016901936)	(27, 0.010714381378405165)	(28, 0.02521030912565921)	(29, 0.046402725234416485)	(30, 0.07775804720945513)	(31, 0.18970757617058556)	(32, 0.36602217561816464)
HP1502401_L17 - polya	(1, 0.0007878221601768503)	(2, 0.0010241688082299053)	(3, 0.0012605154562829604)	(4, 0.0014968621043360156)	(5, 0.0018119909684067557)	(6, 0.002363466480530551)	(7, 0.002914941992654346)	(8, 0.0036239819368135114)	(9, 0.004490586313008047)	(10, 0.009296301490086834)	(11, 0.014338363315218676)	(12, 0.022137802700969492)	(13, 0.03222192635123318)	(14, 0.045772467506275005)	(15, 0.0716130343600757)	(16, 0.10115636536670758)	(17, 0.11856723510661597)	(18, 0.13810522467900185)	(19, 0.16827881341377524)	(20, 0.18813193185023186)	(21, 0.2031793351096097)	(22, 0.21767526285686375)	(23, 0.23713447021323195)	(24, 0.2632901659311034)	(25, 0.285900661928179)	(26, 0.313159308670298)	(27, 0.33640006239551506)	(28, 0.3627133225454219)	(29, 0.37910002347710037)	(30, 0.40297103493045894)	(31, 0.42164242012665026)	(32, 0.44118040969903616)
HP1502401_L18 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00012066190293473881)	(5, 0.00012066190293473881)	(6, 0.00012066190293473881)	(7, 0.00012066190293473881)	(8, 0.00012066190293473881)	(9, 0.00036198570880421644)	(10, 0.00036198570880421644)	(11, 0.00036198570880421644)	(12, 0.00048264761173895523)	(13, 0.00048264761173895523)	(14, 0.00048264761173895523)	(15, 0.00048264761173895523)	(16, 0.00048264761173895523)	(17, 0.00048264761173895523)	(18, 0.00048264761173895523)	(19, 0.00048264761173895523)	(20, 0.00048264761173895523)	(21, 0.00048264761173895523)	(22, 0.0007239714176084329)	(23, 0.0009652952234779105)	(24, 0.0010859571264126493)	(25, 0.001206619029347388)	(26, 0.001809928544021082)	(27, 0.007722361787823284)	(28, 0.023529071072274067)	(29, 0.04754078975628709)	(30, 0.0802401654516013)	(31, 0.1869052876459104)	(32, 0.3567972469780226)
HP1502401_L2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00022966450035626705)	(12, 0.00022966450035626705)	(13, 0.00022966450035626705)	(14, 0.0002870806254453338)	(15, 0.0004019128756234673)	(16, 0.0007464096261578679)	(17, 0.0014928192523157358)	(18, 0.001722483752672003)	(19, 0.0020669805032064036)	(20, 0.002411477253740804)	(21, 0.003387551380254939)	(22, 0.005167451258016009)	(23, 0.00746409626157868)	(24, 0.010047821890586684)	(25, 0.011310976642546152)	(26, 0.013205708770485356)	(27, 0.01825832777832323)	(28, 0.03381809767746032)	(29, 0.06160750222056864)	(30, 0.09823899002739324)	(31, 0.22484154584878543)	(32, 0.4415874180600125)
HP1502401_L2 - polya	(1, 0.0014354031272266691)	(2, 0.002239228878473604)	(3, 0.0023540611286517374)	(4, 0.002928222379542405)	(5, 0.005339699633283209)	(6, 0.006545438260153611)	(7, 0.00780859301211308)	(8, 0.008612418763360014)	(9, 0.011138728267278953)	(10, 0.02256453716000324)	(11, 0.03640182330646833)	(12, 0.05270800283176329)	(13, 0.06803810823054411)	(14, 0.09387536452062416)	(15, 0.1570331021185976)	(16, 0.2209372493427289)	(17, 0.24574101538120574)	(18, 0.270028036293881)	(19, 0.3251475163793851)	(20, 0.352592424171959)	(21, 0.3720564905771526)	(22, 0.3919798859830588)	(23, 0.42642956103649887)	(24, 0.473855280360068)	(25, 0.5121518357944755)	(26, 0.5571086617392148)	(27, 0.5997688426803914)	(28, 0.6423716074964789)	(29, 0.6692997701632513)	(30, 0.7014528002131286)	(31, 0.7259694856261601)	(32, 0.747270868034204)
HP1502401_L20 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 5.717598654305981e-05)	(13, 5.717598654305981e-05)	(14, 5.717598654305981e-05)	(15, 0.0001715279596291794)	(16, 0.0005145838788875383)	(17, 0.0006861118385167176)	(18, 0.0006861118385167176)	(19, 0.0008576397981458971)	(20, 0.0009719917712320167)	(21, 0.0010863437443181362)	(22, 0.0016009276232056746)	(23, 0.0019439835424640334)	(24, 0.003259031232954409)	(25, 0.0038879670849280667)	(26, 0.004859958856160084)	(27, 0.00903380587380345)	(28, 0.02052617916895847)	(29, 0.03796485506459171)	(30, 0.06266488125119354)	(31, 0.14860038902541245)	(32, 0.2769604788145817)
HP1502401_L20 - polya	(1, 0.0008576397981458971)	(2, 0.001200695717404256)	(3, 0.0016009276232056746)	(4, 0.0017152795962917943)	(5, 0.0028587993271529904)	(6, 0.0034305591925835885)	(7, 0.004688430896530905)	(8, 0.005203014775418443)	(9, 0.0062893585197365785)	(10, 0.009319685806518749)	(11, 0.013950940716506592)	(12, 0.02041182719587235)	(13, 0.027444473540668708)	(14, 0.0369928632933597)	(15, 0.05105815598295241)	(16, 0.06826812793241341)	(17, 0.07918874136213783)	(18, 0.09491213766147928)	(19, 0.11097858988007908)	(20, 0.12224225922906187)	(21, 0.13407768844347526)	(22, 0.1463705255502331)	(23, 0.16209392184957455)	(24, 0.1822198691127316)	(25, 0.19845784929096058)	(26, 0.22029907615040945)	(27, 0.23636552836900923)	(28, 0.2539185562377286)	(29, 0.2694132485908978)	(30, 0.2862229886345574)	(31, 0.30389036847636286)	(32, 0.319327884842989)
HP1502401_L21 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 4.1589172175845675e-05)	(5, 8.317834435169135e-05)	(6, 8.317834435169135e-05)	(7, 8.317834435169135e-05)	(8, 8.317834435169135e-05)	(9, 0.0001663566887033827)	(10, 0.00020794586087922838)	(11, 0.00024953503305507403)	(12, 0.00024953503305507403)	(13, 0.00024953503305507403)	(14, 0.00024953503305507403)	(15, 0.00029112420523091974)	(16, 0.0003327133774067654)	(17, 0.00041589172175845676)	(18, 0.0004574808939343024)	(19, 0.0004574808939343024)	(20, 0.0004574808939343024)	(21, 0.0006238375826376851)	(22, 0.0009149617878686048)	(23, 0.0012476751652753702)	(24, 0.0018299235757372097)	(25, 0.002328993641847358)	(26, 0.0035350796349468824)	(27, 0.008401012779520826)	(28, 0.0225829204914842)	(29, 0.04433405753945149)	(30, 0.07386236978430191)	(31, 0.17741940850215765)	(32, 0.3337946958833374)
HP1502401_L21 - polya	(1, 0.0015803885426821356)	(2, 0.001913101920088901)	(3, 0.0022458152974956665)	(4, 0.002453761158374895)	(5, 0.0035350796349468824)	(6, 0.004990700661101481)	(7, 0.005905662448970086)	(8, 0.006820624236838691)	(9, 0.007652407680355604)	(10, 0.012559929997105394)	(11, 0.017051560592096726)	(12, 0.0244960224115731)	(13, 0.03447742373377606)	(14, 0.04670464035347469)	(15, 0.06275806081335113)	(16, 0.08463396537784594)	(17, 0.09802567881846826)	(18, 0.1181964273237534)	(19, 0.13799287327945595)	(20, 0.1546285421497942)	(21, 0.1697254116496262)	(22, 0.18444797859987558)	(23, 0.199960739821466)	(24, 0.2206305583928613)	(25, 0.2397615775937503)	(26, 0.2618038388469485)	(27, 0.2805605554982549)	(28, 0.30189580082446377)	(29, 0.3191553072774397)	(30, 0.33824473730615284)	(31, 0.3592056800827791)	(32, 0.37592452729746906)
HP1502401_L22 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 4.555700730552169e-05)	(8, 4.555700730552169e-05)	(9, 9.111401461104338e-05)	(10, 9.111401461104338e-05)	(11, 0.00018222802922208676)	(12, 0.00031889905113865184)	(13, 0.00031889905113865184)	(14, 0.0004100130657496952)	(15, 0.0005011270803607387)	(16, 0.0008655831388049122)	(17, 0.0016400522629987809)	(18, 0.0017767232849153459)	(19, 0.002323407372581606)	(20, 0.0031434335040809967)	(21, 0.004100130657496952)	(22, 0.005603511898579168)	(23, 0.008291375329604948)	(24, 0.01211816394326877)	(25, 0.013894887228184116)	(26, 0.01694720671765407)	(27, 0.034851110588724095)	(28, 0.0718434005208077)	(29, 0.12519065607557361)	(30, 0.20564433097712492)	(31, 0.4089196975743627)	(32, 0.6915098138905138)
HP1502401_L22 - polya	(1, 0.01052366868757551)	(2, 0.013803773213573073)	(3, 0.01580828153501603)	(4, 0.01936172810484672)	(5, 0.03015873883625536)	(6, 0.0344410975229744)	(7, 0.039452368326581784)	(8, 0.044008069057133954)	(9, 0.05043160708721251)	(10, 0.08323265234718813)	(11, 0.1285163176088767)	(12, 0.17320774177559348)	(13, 0.21612244265739491)	(14, 0.28199787522117925)	(15, 0.3966648626091774)	(16, 0.561763457084388)	(17, 0.634153541692862)	(18, 0.7085936916300843)	(19, 0.8678154321628827)	(20, 0.9494535892543776)	(21, 0.994555026486844)	(22, 1.0402031478069769)	(23, 1.1138232716127)	(24, 1.2178754762985113)	(25, 1.3087161488657217)	(26, 1.40680038559451)	(27, 1.5040645961917987)	(28, 1.6050189243808348)	(29, 1.6647441609583737)	(30, 1.7323963168070733)	(31, 1.788249207763643)	(32, 1.8374052186463008)
HP1502401_L23 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 4.408755082192421e-05)	(6, 4.408755082192421e-05)	(7, 4.408755082192421e-05)	(8, 4.408755082192421e-05)	(9, 0.00013226265246577264)	(10, 0.00017635020328769685)	(11, 0.0003086128557534695)	(12, 0.0003527004065753937)	(13, 0.0003527004065753937)	(14, 0.0003527004065753937)	(15, 0.0003967879573973179)	(16, 0.0004849630590411663)	(17, 0.00083766346561656)	(18, 0.0009699261180823326)	(19, 0.0011903638721919537)	(20, 0.0014108016263015748)	(21, 0.0018516771345208167)	(22, 0.002733428150959301)	(23, 0.004100142226438951)	(24, 0.006128169564247465)	(25, 0.007935759147946357)	(26, 0.011374588112056445)	(27, 0.03438828964110088)	(28, 0.08896867755864306)	(29, 0.16343255089687306)	(30, 0.26377581656757254)	(31, 0.524068716620213)	(32, 0.8602362916373851)
