Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
HP1504901_L12	48.366488260698546	45.0	43.0	43	30.0	0.755034
HP1504901_L13	56.12985213982065	44.0	43.0	43	40.0	0.600364
HP1504901_L14	52.47771592837503	44.0	43.0	43	30.0	0.8689479999999999
HP1504901_L15	73.82073436196431	49.0	43.0	43	40.0	0.208562
HP1504901_L16	46.79929704680803	45.0	43.0	43	10.0	1.0862049999999999
HP1504901_L17	56.21281736702347	46.0	43.0	43	40.0	0.831998
HP1504901_L18	47.95532593815266	44.0	43.0	43	10.0	1.121856
HP1504901_L19	77.08711976094165	46.0	43.0	43	40.0	0.647826
HP1504901_L2	75.35891743672748	47.0	43.0	43	40.0	0.472794
HP1504901_L20	53.484687134679135	45.0	43.0	43	20.0	1.2685199999999999
HP1504901_L21	58.88505934619073	44.0	43.0	43	40.0	0.706985
HP1504901_L22	56.57253714607195	45.0	43.0	43	20.0	1.398988
HP1504901_L23	76.3852857047828	47.0	43.0	43	40.0	0.270594
HP1504901_L24	81.40490207646697	45.0	43.0	43	30.0	0.598151
HP1504901_L3	46.95728705986585	46.0	43.0	43	30.0	0.5615669999999999
HP1504901_L4	82.08511662839544	49.0	43.0	43	40.0	0.278277
HP1504901_L5	82.77330386051162	46.0	43.0	43	40.0	0.436108
HP1504901_L6	80.80802964359884	49.0	43.0	43	40.0	0.256649
HP1504901_L7	81.04736325887087	50.0	43.0	43	40.0	0.218186
HP1504901_L8	52.5647200606396	46.0	43.0	43	40.0	0.9596819999999999
HP1504901_L9	48.16890360513602	45.0	43.0	43	30.0	0.632411
HP1504901_M1	75.98494061203752	48.0	43.0	43	40.0	0.120058
HP1504901_M10	82.42647927068163	49.0	43.0	43	40.0	0.330281
HP1504901_M11	41.38190245412991	45.0	43.0	43	30.0	0.5535869999999999
HP1504901_M12	46.73839083677027	45.0	43.0	43	30.0	0.42922899999999997
HP1504901_M13	83.19366885752811	51.0	43.0	43	40.0	0.141649
HP1504901_M14	84.47337786980346	49.0	43.0	43	40.0	0.516281
HP1504901_M15	68.40334249341035	52.0	43.0	43	40.0	0.017831
HP1504901_M16	72.1792491295382	47.0	43.0	43	40.0	0.34091099999999996
HP1504901_M17	82.27475590029428	49.0	43.0	43	40.0	0.307866
HP1504901_M18	49.070339943248364	45.0	43.0	43	30.0	1.239882
HP1504901_M19	42.127112912124545	47.0	43.0	43	20.0	1.068986
HP1504901_M2	84.2642064908023	49.0	43.0	43	40.0	0.429346
HP1504901_M20	70.89037913634445	46.0	43.0	43	40.0	0.8315819999999999
HP1504901_M21	47.01468641853152	46.0	43.0	43	20.0	0.641863
HP1504901_M22	85.85980051373704	48.0	43.0	43	40.0	0.719179
HP1504901_M23	84.36295417865107	49.0	43.0	43	40.0	0.457887
HP1504901_M24	40.12329011444198	42.0	43.0	43	10.0	0.730949
HP1504901_M3	39.923957742542946	44.0	43.0	43	30.0	0.396095
HP1504901_M4	48.901743939020825	46.0	43.0	43	30.0	0.4608
HP1504901_M5	72.48970368480519	49.0	43.0	43	40.0	0.027437
HP1504901_M6	52.938046121903106	45.0	43.0	43	40.0	0.577298
HP1504901_M7	61.40563658995883	49.0	43.0	43	40.0	0.031331
HP1504901_M8	82.43956295641604	50.0	43.0	43	40.0	0.340561
HP1504901_M9	77.28679414627324	50.0	43.0	43	40.0	0.17158299999999999
HP1504901_N1	44.061053039572805	43.0	43.0	43	30.0	0.41561699999999996
HP1504901_N10	81.57718130726181	48.0	43.0	43	40.0	0.33824899999999997
HP1504901_N11	77.99051087894182	49.0	43.0	43	40.0	0.20865999999999998
HP1504901_N12	42.29422419215908	45.0	43.0	43	30.0	0.6617879999999999
HP1504901_N13	41.59502942671247	46.0	43.0	43	30.0	0.6928019999999999
HP1504901_N14	82.92536775566901	48.0	43.0	43	40.0	0.47728699999999996
HP1504901_N15	42.88669332064937	45.0	43.0	43	30.0	0.655528
HP1504901_N16	44.67981872194454	44.0	43.0	43	20.0	1.027363
HP1504901_N17	39.49975494447433	44.0	43.0	43	30.0	0.684859
HP1504901_N18	41.83647167712222	45.0	43.0	43	10.0	1.386495
HP1504901_N19	45.403737526857846	45.0	43.0	43	30.0	0.800658
HP1504901_N2	39.43925237306326	45.0	43.0	43	30.0	0.495216
HP1504901_N20	83.54795032139079	47.0	43.0	43	40.0	0.6079399999999999
HP1504901_N21	31.00526952905517	46.0	43.0	43	30.0	0.358275
HP1504901_N22	50.33054290855804	45.0	43.0	43	20.0	1.432623
HP1504901_N23	48.413421393725784	46.0	43.0	43	20.0	0.846607
HP1504901_N24	49.48719708419249	44.0	43.0	43	10.0	0.704114
HP1504901_N3	78.11784110693668	49.0	43.0	43	40.0	0.21825999999999998
HP1504901_N4	79.13247245845807	49.0	43.0	43	40.0	0.402846
HP1504901_N5	82.00379382789075	49.0	43.0	43	40.0	0.245135
HP1504901_N6	79.80070940008805	48.0	43.0	43	40.0	0.279391
HP1504901_N7	40.641389748210486	44.0	43.0	43	30.0	0.36738099999999996
HP1504901_N8	52.11722804560518	46.0	43.0	43	40.0	1.098534
HP1504901_N9	49.255029292471356	45.0	43.0	43	30.0	0.6315529999999999
HP1504901_O1	40.131965590130356	44.0	43.0	43	30.0	0.352802
HP1504901_O10	48.03171449700612	45.0	43.0	43	30.0	0.785296
HP1504901_O11	48.52190906858242	45.0	43.0	43	30.0	0.884751
HP1504901_O12	81.33864614542301	49.0	43.0	43	40.0	0.328765
HP1504901_O13	82.58683992449703	49.0	43.0	43	40.0	0.347536
HP1504901_O14	51.55521481681979	46.0	43.0	43	40.0	0.979903
HP1504901_O15	78.94379627284067	50.0	43.0	43	40.0	0.209221
HP1504901_O16	47.64251606390022	45.0	43.0	43	30.0	1.009349
HP1504901_O17	48.648740765236795	44.0	43.0	43	30.0	0.753169
HP1504901_O18	55.648854136545026	45.0	43.0	43	40.0	1.13238
HP1504901_O19	81.70000408332312	49.0	43.0	43	40.0	0.342858
HP1504901_O2	82.06438111651381	50.0	43.0	43	40.0	0.227458
HP1504901_O20	57.550759628133044	46.0	43.0	43	20.0	1.514761
HP1504901_O21	51.1782820631324	45.0	43.0	43	40.0	0.9075679999999999
HP1504901_O22	83.36524366017728	48.0	43.0	43	40.0	0.583928
HP1504901_O23	82.23827208311499	48.0	43.0	43	40.0	0.43890999999999997
HP1504901_O24	47.056689462227055	44.0	43.0	43	10.0	0.867698
HP1504901_O3	80.7117577129302	47.0	43.0	43	40.0	0.367597
HP1504901_O4	44.70597106011617	46.0	43.0	43	30.0	0.827801
HP1504901_O5	43.698373585960645	45.0	43.0	43	30.0	0.81063
HP1504901_O6	48.16097555439276	44.0	43.0	43	30.0	0.7876599999999999
HP1504901_O7	44.491488687875524	44.0	43.0	43	30.0	0.662705
HP1504901_O8	54.13789032346716	46.0	43.0	43	40.0	1.170493
HP1504901_O9	55.45572606666648	45.0	43.0	43	40.0	0.892274
HP1504901_P1	78.81275866393545	49.0	43.0	43	40.0	0.11960499999999999
HP1504901_P10	40.39538704979383	44.0	43.0	43	20.0	0.9256489999999999
HP1504901_P11	39.54860100450922	45.0	43.0	43	30.0	0.548859
HP1504901_P12	75.90929073856975	47.0	43.0	43	40.0	0.27296
HP1504901_P14	81.28681805690064	46.0	43.0	43	30.0	1.64109
HP1504901_P15	68.55927837462384	47.0	43.0	43	40.0	0.44009299999999996
HP1504901_P16	41.919537090040635	44.0	43.0	43	10.0	0.831711
HP1504901_P17	84.14078612950438	46.0	43.0	43	40.0	0.534314
HP1504901_P18	36.8450647763846	44.0	43.0	43	10.0	0.8904449999999999
HP1504901_P19	82.14576005813322	48.0	43.0	43	40.0	0.26697299999999996
HP1504901_P2	81.7649851226951	48.0	43.0	43	40.0	0.322303
HP1504901_P20	55.18205254444024	42.0	43.0	43	20.0	0.932896
HP1504901_P21	50.57352003056822	44.0	43.0	43	40.0	0.68896
HP1504901_P22	78.94209864633402	46.0	43.0	43	40.0	0.355553
HP1504901_P23	79.30455588374626	47.0	43.0	43	40.0	0.458067
HP1504901_P24	73.84827033524776	46.0	43.0	43	40.0	0.37434999999999996
HP1504901_P3	30.770581077039466	45.0	43.0	43	30.0	0.417081
HP1504901_P4	66.01391851941571	45.0	43.0	43	40.0	0.6205689999999999
HP1504901_P5	81.84748366268323	49.0	43.0	43	40.0	0.192045
HP1504901_P6	75.17057600515389	48.0	43.0	43	40.0	0.136596
HP1504901_P7	38.49966951279497	45.0	43.0	43	30.0	0.517883
HP1504901_P8	81.85592399919148	49.0	43.0	43	40.0	0.375996
HP1504901_P9	42.07605967267823	46.0	43.0	43	30.0	0.547184
HP1506401_A1	2.988691437802899	55.0	43.0	43	20.0	0.001238
HP1506401_A10	2.6027397260273943	51.0	43.0	43	0.0	0.00073
HP1506401_A11	5.187930121757546	55.0	43.0	43	10.0	0.0018889999999999998
HP1506401_A12	29.72100435130828	55.0	43.0	43	10.0	0.121113
HP1506401_A13	18.898864052766584	54.0	43.0	43	10.0	0.043664
HP1506401_A14	59.563721033757595	55.0	43.0	43	20.0	1.379033
HP1506401_A15	32.88342749115209	55.0	43.0	43	10.0	0.13647299999999998
HP1506401_A16	16.741380715624743	54.0	43.0	43	20.0	0.012268999999999999
HP1506401_A17	58.94761253569283	52.0	43.0	43	20.0	2.310121
HP1506401_A18	24.245177523064015	55.0	43.0	43	10.0	0.057232
HP1506401_A19	9.701027717222047	54.0	43.0	43	10.0	0.006422
HP1506401_A2	23.151428571428568	52.0	43.0	43	30.0	0.06999999999999999
HP1506401_A20	21.718978695722882	57.0	43.0	43	10.0	0.07378799999999999
HP1506401_A21	49.79993776193563	53.0	43.0	43	10.0	1.6739359999999999
HP1506401_A22	1.3888888888888857	54.0	43.0	43	30.0	0.000288
HP1506401_A23	51.668186498014414	52.0	43.0	43	20.0	0.169975
HP1506401_A24	53.65406310129222	49.0	43.0	43	30.0	1.03068
HP1506401_A3	24.460814974401742	49.0	43.0	43	30.0	0.043167
HP1506401_A4	39.69155930189145	54.0	43.0	43	10.0	0.7702589999999999
HP1506401_A5	35.484219708277905	55.0	43.0	43	10.0	0.313418
HP1506401_A6	53.616618485119936	53.0	43.0	43	20.0	0.906786
HP1506401_A7	63.518927153922654	54.0	43.0	43	20.0	2.604473
HP1506401_A8	32.21010974247392	48.0	43.0	43	30.0	0.136957
HP1506401_A9	41.43831901915417	52.0	43.0	43	10.0	0.315591
HP1506401_B1	49.4714448577257	53.0	43.0	43	10.0	1.161008
HP1506401_B10	9.081041968162083	51.0	43.0	43	10.0	0.002764
HP1506401_B11	51.238232549787746	54.0	43.0	43	20.0	0.8879309999999999
HP1506401_B12	36.44391163871873	47.0	43.0	43	40.0	0.068401
HP1506401_B13	6.239227852464666	50.0	43.0	43	0.0	0.002901
HP1506401_B14	66.06632224232847	52.0	43.0	43	20.0	2.5034069999999997
HP1506401_B15	31.10357160875664	54.0	43.0	43	10.0	0.30619799999999997
HP1506401_B16	58.2219118133751	54.0	43.0	43	20.0	0.792404
HP1506401_B17	45.65304501810154	52.0	43.0	43	10.0	1.840639
HP1506401_B18	37.867893350006696	54.0	43.0	43	10.0	0.08956399999999999
HP1506401_B19	9.917355371900825	51.0	43.0	43	10.0	0.002904
HP1506401_B2	46.42628465486099	40.0	43.0	43	40.0	0.104639
HP1506401_B20	25.910876337532173	52.0	43.0	43	10.0	0.07382999999999999
HP1506401_B21	71.8716204607344	57.0	43.0	43	30.0	0.468151
HP1506401_B22	46.130141626356625	50.0	43.0	43	20.0	0.492178
HP1506401_B23	46.84467142168006	55.0	43.0	43	10.0	0.235875
HP1506401_B24	44.17472591904972	51.0	43.0	43	10.0	1.115028
HP1506401_B3	32.99833726025544	51.0	43.0	43	10.0	0.804048
HP1506401_B4	47.66996105170892	54.0	43.0	43	10.0	1.412172
HP1506401_B5	37.488944297176516	54.0	43.0	43	10.0	0.88816
HP1506401_B6	45.36921127841913	51.0	43.0	43	10.0	0.5719409999999999
HP1506401_B7	12.79143210215571	59.0	43.0	43	10.0	0.036414999999999996
HP1506401_B8	44.49281454069932	55.0	43.0	43	10.0	1.062991
HP1506401_B9	48.47257199167853	53.0	43.0	43	10.0	0.136995
HP1506401_C1	15.313357731015557	53.0	43.0	43	0.0	0.008744
HP1506401_C10	2.6506024096385516	51.0	43.0	43	10.0	0.00083
HP1506401_C11	8.28379426208322	56.0	43.0	43	20.0	0.007737999999999999
HP1506401_C12	54.526726243562926	49.0	43.0	43	20.0	0.6677179999999999
HP1506401_C13	60.975804468623366	54.0	43.0	43	20.0	1.2069459999999999
HP1506401_C14	28.55716442559614	55.0	43.0	43	20.0	0.154524
HP1506401_C15	35.11380323054331	56.0	43.0	43	10.0	0.10351199999999999
HP1506401_C16	32.00513986441868	51.0	43.0	43	10.0	0.302392
HP1506401_C17	48.05669835689691	52.0	43.0	43	10.0	1.6817879999999998
HP1506401_C18	46.43667512362756	52.0	43.0	43	10.0	0.62756
HP1506401_C19	1.895734597156391	52.0	43.0	43	20.0	0.00042199999999999996
HP1506401_C2	14.547353500690065	52.0	43.0	43	30.0	0.026809
HP1506401_C20	7.4314574314574315	57.0	43.0	43	30.0	0.0013859999999999999
HP1506401_C21	48.73057321529696	51.0	43.0	43	10.0	0.381661
HP1506401_C22	0.8928571428571388	51.0	43.0	43	20.0	0.000112
HP1506401_C23	67.19202074395932	54.0	43.0	43	20.0	1.247654
HP1506401_C24	40.25815261906283	51.0	43.0	43	10.0	0.321629
HP1506401_C3	37.36202256025645	46.0	43.0	43	40.0	0.132268
HP1506401_C4	54.71344838854598	54.0	43.0	43	20.0	1.741047
HP1506401_C5	54.91113984426931	52.0	43.0	43	20.0	2.287613
HP1506401_C6	18.790960451977398	50.0	43.0	43	30.0	0.026549999999999997
HP1506401_C7	57.2669094520669	54.0	43.0	43	20.0	3.6727239999999997
HP1506401_C8	38.13887659456893	52.0	43.0	43	10.0	0.48613399999999996
HP1506401_C9	43.46393522824011	52.0	43.0	43	10.0	0.438945
HP1506401_D1	38.43108830817597	51.0	43.0	43	10.0	1.1116009999999998
HP1506401_D10	23.862184873949573	53.0	43.0	43	10.0	0.02975
HP1506401_D11	36.71544715447155	46.0	43.0	43	40.0	0.11069999999999999
HP1506401_D12	55.329041495167246	51.0	43.0	43	20.0	1.202304
HP1506401_D13	45.098131920699615	53.0	43.0	43	10.0	0.7199169999999999
HP1506401_D14	48.92178518019578	55.0	43.0	43	10.0	0.345197
HP1506401_D15	37.41996782974187	54.0	43.0	43	10.0	0.7576229999999999
HP1506401_D16	24.971424729375386	53.0	43.0	43	10.0	0.014872999999999999
HP1506401_D17	50.342544324100416	53.0	43.0	43	20.0	1.640274
HP1506401_D18	40.92649884760514	52.0	43.0	43	10.0	1.042047
HP1506401_D19	17.987971569163477	54.0	43.0	43	10.0	0.016461
HP1506401_D2	45.20792751238927	49.0	43.0	43	10.0	1.6100569999999998
HP1506401_D20	10.535435799688102	49.0	43.0	43	10.0	0.005771
HP1506401_D21	12.166371172552587	56.0	43.0	43	10.0	0.020869
HP1506401_D22	60.15658989343244	47.0	43.0	43	30.0	0.746159
HP1506401_D23	54.067103577130595	53.0	43.0	43	20.0	1.344441
HP1506401_D24	50.46044857868878	51.0	43.0	43	20.0	2.12931
HP1506401_D3	68.59151153644822	54.0	43.0	43	20.0	2.481445
HP1506401_D4	56.24425133509671	46.0	43.0	43	40.0	0.33597299999999997
HP1506401_D5	23.047163767187428	50.0	43.0	43	30.0	0.040582
HP1506401_D6	64.84611670082731	37.0	43.0	43	50.0	0.961714
HP1506401_D7	34.799728336875475	54.0	43.0	43	10.0	0.6010759999999999
HP1506401_D8	36.43542755509607	55.0	43.0	43	10.0	0.48020399999999996
HP1506401_D9	48.10117920974684	52.0	43.0	43	10.0	0.81734
HP1506401_E1	33.56440958849754	49.0	43.0	43	30.0	0.042843
HP1506401_E10	43.6592814145219	47.0	43.0	43	30.0	0.424961
HP1506401_E11	28.14678017126883	53.0	43.0	43	10.0	0.079057
HP1506401_E12	44.96332461592547	51.0	43.0	43	10.0	1.4287219999999998
HP1506401_E13	14.923234390992832	54.0	43.0	43	10.0	0.004885
HP1506401_E14	66.51832901602293	54.0	43.0	43	20.0	4.699673
HP1506401_E15	49.06765424907555	53.0	43.0	43	10.0	1.267351
HP1506401_E16	40.8077120356776	53.0	43.0	43	10.0	0.861946
HP1506401_E17	58.105327042123854	53.0	43.0	43	20.0	6.868201
HP1506401_E18	64.59377859824208	53.0	43.0	43	20.0	5.2231819999999995
HP1506401_E19	27.658599455821275	56.0	43.0	43	10.0	0.034915
HP1506401_E2	12.095124445959769	55.0	43.0	43	20.0	0.023464
HP1506401_E20	37.17527501030873	56.0	43.0	43	10.0	0.075179
HP1506401_E21	46.01099865047175	48.0	43.0	43	20.0	0.7634679999999999
HP1506401_E22	17.088068181818187	57.0	43.0	43	10.0	0.007039999999999999
HP1506401_E23	59.43656550547189	53.0	43.0	43	20.0	0.8199179999999999
HP1506401_E24	67.92059378869159	53.0	43.0	43	20.0	2.274225
HP1506401_E3	36.7222147853657	47.0	43.0	43	20.0	0.255732
HP1506401_E4	73.48167881099737	56.0	43.0	43	20.0	0.93906
HP1506401_E5	53.129754120900124	45.0	43.0	43	50.0	0.63484
HP1506401_E6	26.45308970977237	50.0	43.0	43	10.0	0.271163
HP1506401_E7	55.403729839663264	42.0	43.0	43	50.0	0.592922
HP1506401_E8	44.164809415529184	52.0	43.0	43	10.0	1.0010679999999998
HP1506401_E9	33.48315556620123	47.0	43.0	43	20.0	0.141946
HP1506401_F1	20.903209982524444	51.0	43.0	43	30.0	0.032617
HP1506401_F10	44.439662606118546	51.0	43.0	43	10.0	1.454427
HP1506401_F11	50.560756446796766	52.0	43.0	43	20.0	1.1181969999999999
HP1506401_F12	50.87911992037925	50.0	43.0	43	20.0	0.744323
HP1506401_F13	50.544158142632085	51.0	43.0	43	20.0	0.234336
HP1506401_F14	47.04965743818844	47.0	43.0	43	20.0	0.9878159999999999
HP1506401_F15	33.840608314462	48.0	43.0	43	30.0	0.09626599999999999
HP1506401_F16	46.28233643574041	52.0	43.0	43	10.0	0.552016
HP1506401_F17	45.26663303008199	52.0	43.0	43	10.0	0.789705
HP1506401_F18	57.95225162301059	52.0	43.0	43	20.0	1.609894
HP1506401_F19	28.273775813999293	55.0	43.0	43	10.0	0.141367
HP1506401_F2	32.629381708995865	50.0	43.0	43	10.0	0.38265899999999997
HP1506401_F20	49.42985710863985	54.0	43.0	43	10.0	0.376613
HP1506401_F21	27.16587009748561	57.0	43.0	43	10.0	0.11068299999999999
HP1506401_F22	53.20209011254109	54.0	43.0	43	20.0	1.302513
HP1506401_F23	56.53038843594845	53.0	43.0	43	20.0	4.999286
HP1506401_F24	54.26082914301366	52.0	43.0	43	20.0	1.22386
HP1506401_F3	35.55860901879129	52.0	43.0	43	10.0	0.186636
HP1506401_F4	10.917104593998985	48.0	43.0	43	10.0	0.005899
HP1506401_F5	40.80622053680838	52.0	43.0	43	10.0	0.527847
HP1506401_F6	53.716054818131575	40.0	43.0	43	50.0	0.213506
HP1506401_F7	16.81380417335474	56.0	43.0	43	10.0	0.022428
HP1506401_F8	53.64580238900313	55.0	43.0	43	20.0	1.6871429999999998
HP1506401_F9	53.00151456023377	52.0	43.0	43	20.0	0.9036219999999999
HP1506401_G1	31.055972908282428	53.0	43.0	43	10.0	0.358884
HP1506401_G10	5.818022747156604	54.0	43.0	43	10.0	0.002286
HP1506401_G11	53.345412233311365	51.0	43.0	43	20.0	1.221344
HP1506401_G12	47.624053403448386	52.0	43.0	43	10.0	0.734733
HP1506401_G13	39.02703842797751	55.0	43.0	43	10.0	0.317975
HP1506401_G14	71.85493113505845	53.0	43.0	43	20.0	7.153891
HP1506401_G15	63.36759775982973	54.0	43.0	43	20.0	4.465021999999999
HP1506401_G16	49.78273953707155	52.0	43.0	43	10.0	0.655763
HP1506401_G17	49.327747182657156	51.0	43.0	43	30.0	0.22780799999999998
HP1506401_G18	51.67968983548116	53.0	43.0	43	20.0	4.196057
HP1506401_G19	34.192081858709244	54.0	43.0	43	10.0	0.155216
HP1506401_G2	38.159921213383655	51.0	43.0	43	10.0	0.314044
HP1506401_G20	30.458507547303526	56.0	43.0	43	10.0	0.08466599999999999
HP1506401_G21	48.097105157529164	53.0	43.0	43	10.0	0.882416
HP1506401_G22	5.0251256281406995	53.0	43.0	43	20.0	0.00019899999999999999
HP1506401_G23	49.29522407694631	51.0	43.0	43	10.0	0.961387
HP1506401_G24	49.74114902939355	51.0	43.0	43	10.0	1.693042
HP1506401_G3	38.32139350521837	49.0	43.0	43	10.0	0.137495
HP1506401_G4	45.850700631849925	52.0	43.0	43	10.0	0.720403
HP1506401_G5	51.08613478995712	53.0	43.0	43	20.0	1.747226
HP1506401_G6	36.3188746253486	51.0	43.0	43	10.0	0.281504
HP1506401_G7	50.73468223101782	45.0	43.0	43	40.0	0.29661499999999996
HP1506401_G8	43.34769953761488	50.0	43.0	43	10.0	0.594729
HP1506401_G9	42.11561173353762	50.0	43.0	43	20.0	0.156645
HP1506401_H1	47.695211948465776	52.0	43.0	43	10.0	1.7944639999999998
HP1506401_H10	41.91750193342879	51.0	43.0	43	30.0	0.130597
HP1506401_H11	39.87483264338471	49.0	43.0	43	10.0	0.551545
HP1506401_H12	46.23308086771208	48.0	43.0	43	10.0	0.9419719999999999
HP1506401_H13	48.81431888075281	51.0	43.0	43	10.0	0.7501909999999999
HP1506401_H14	52.97887288032162	47.0	43.0	43	30.0	0.704738
HP1506401_H15	61.1991231369106	54.0	43.0	43	20.0	1.526384
HP1506401_H16	51.162910309858454	54.0	43.0	43	20.0	0.731804
HP1506401_H17	53.28858629238955	48.0	43.0	43	30.0	0.283968
HP1506401_H18	50.395047969162256	52.0	43.0	43	20.0	0.498033
HP1506401_H19	25.619625923686982	53.0	43.0	43	10.0	0.110833
HP1506401_H2	31.153415850744267	50.0	43.0	43	10.0	0.429853
HP1506401_H20	27.93329842510171	49.0	43.0	43	20.0	0.024827
HP1506401_H21	27.097262520499555	52.0	43.0	43	0.0	0.023781
HP1506401_H22	45.970662535021525	51.0	43.0	43	10.0	0.47715599999999997
HP1506401_H23	37.51122499753644	53.0	43.0	43	10.0	0.629477
HP1506401_H24	49.21890270131558	44.0	43.0	43	40.0	0.22195099999999998
HP1506401_H3	58.042430828484335	52.0	43.0	43	20.0	1.6138679999999999
HP1506401_H4	50.265729009992235	48.0	43.0	43	20.0	2.2621409999999997
HP1506401_H5	54.12367127745295	48.0	43.0	43	40.0	0.31704499999999997
HP1506401_H6	41.94936768497648	51.0	43.0	43	10.0	0.21406899999999998
HP1506401_H7	46.16008072324743	52.0	43.0	43	10.0	2.421869
HP1506401_H8	46.11714609849721	51.0	43.0	43	30.0	0.128694
HP1506401_H9	43.39107984999616	51.0	43.0	43	10.0	0.773439
HP1506401_I1	26.913733598596366	53.0	43.0	43	10.0	0.41214599999999996
HP1506401_I10	54.077551221127315	56.0	43.0	43	20.0	0.531759
HP1506401_I11	54.014610191390005	55.0	43.0	43	20.0	1.661808
HP1506401_I12	48.19749572872012	54.0	43.0	43	10.0	1.030231
HP1506401_I13	52.56939701450232	55.0	43.0	43	20.0	1.855505
HP1506401_I14	42.97447727727859	54.0	43.0	43	10.0	0.804163
HP1506401_I15	53.5542712365924	51.0	43.0	43	20.0	3.285161
HP1506401_I16	29.787938851107498	49.0	43.0	43	10.0	0.5992529999999999
HP1506401_I17	57.303062835539635	54.0	43.0	43	20.0	3.048063
HP1506401_I18	47.989679225194	53.0	43.0	43	10.0	0.711733
HP1506401_I19	5.905861456483137	56.0	43.0	43	10.0	0.002252
HP1506401_I2	34.798868793055846	51.0	43.0	43	10.0	0.18770799999999999
HP1506401_I20	13.573170731707322	58.0	43.0	43	20.0	0.008199999999999999
HP1506401_I21	45.07275149417684	54.0	43.0	43	10.0	1.271557
HP1506401_I22	7.2123740006951635	57.0	43.0	43	10.0	0.005754
HP1506401_I23	47.618386020582356	53.0	43.0	43	10.0	0.851015
HP1506401_I24	37.33925955176718	50.0	43.0	43	10.0	0.5350039999999999
HP1506401_I3	11.61669686506444	53.0	43.0	43	10.0	0.029251
HP1506401_I4	32.63189159375705	50.0	43.0	43	10.0	0.686627
HP1506401_I5	40.985985277463186	43.0	43.0	43	30.0	0.14128
HP1506401_I6	53.00263223618065	52.0	43.0	43	20.0	1.034967
HP1506401_I7	52.534564176651116	47.0	43.0	43	40.0	0.256554
HP1506401_I8	41.57065995057374	51.0	43.0	43	10.0	0.5132869999999999
HP1506401_I9	50.661152624199076	38.0	43.0	43	50.0	0.056340999999999995
HP1506401_J1	17.61218100749454	50.0	43.0	43	30.0	0.021082
HP1506401_J10	53.1622062040313	47.0	43.0	43	50.0	0.136234
HP1506401_J11	48.70669693567855	53.0	43.0	43	10.0	0.9418949999999999
HP1506401_J12	35.841912492575716	46.0	43.0	43	30.0	0.040408
HP1506401_J13	35.4500597627877	47.0	43.0	43	30.0	0.065258
HP1506401_J14	46.38889173428375	52.0	43.0	43	10.0	0.6834399999999999
HP1506401_J15	49.61602509215428	53.0	43.0	43	10.0	2.065133
HP1506401_J16	33.513643869623465	52.0	43.0	43	10.0	0.493451
HP1506401_J17	49.62916193527646	53.0	43.0	43	10.0	0.7394839999999999
HP1506401_J18	22.67614798289644	52.0	43.0	43	10.0	0.129096
HP1506401_J19	28.22217265224181	56.0	43.0	43	10.0	0.08965999999999999
HP1506401_J2	43.051370464003135	52.0	43.0	43	10.0	0.90493
HP1506401_J20	42.18810386361537	50.0	43.0	43	10.0	2.024899
HP1506401_J21	25.51331209509364	54.0	43.0	43	10.0	0.186282
HP1506401_J22	36.16698301400626	52.0	43.0	43	10.0	0.343314
HP1506401_J23	58.00290324291604	51.0	43.0	43	20.0	2.247588
HP1506401_J24	50.26318606517508	52.0	43.0	43	20.0	1.1217979999999999
HP1506401_J3	58.94456345926	53.0	43.0	43	20.0	0.838239
HP1506401_J4	29.353929935718483	53.0	43.0	43	10.0	0.33296699999999996
HP1506401_J5	26.865483402919153	53.0	43.0	43	10.0	0.18903599999999998
HP1506401_J6	42.84133781546488	52.0	43.0	43	10.0	0.35346299999999997
HP1506401_J7	35.0173897933695	55.0	43.0	43	10.0	0.175677
HP1506401_J8	29.861723227038212	53.0	43.0	43	10.0	0.49160099999999995
HP1506401_J9	37.070864820616514	53.0	43.0	43	10.0	0.390451
HP1506401_K1	26.17560771445015	55.0	43.0	43	10.0	0.21953599999999998
HP1506401_K10	65.50124643296007	48.0	43.0	43	20.0	0.465619
HP1506401_K11	40.50191211701859	48.0	43.0	43	30.0	0.134406
HP1506401_K12	26.491579583810307	51.0	43.0	43	10.0	0.22084199999999998
HP1506401_K13	26.819499169624535	51.0	43.0	43	10.0	0.030709
HP1506401_K14	55.749490391879235	53.0	43.0	43	20.0	1.2229809999999999
HP1506401_K15	50.36228870823544	55.0	43.0	43	20.0	0.192388
HP1506401_K16	24.794600543808926	52.0	43.0	43	10.0	0.37526
HP1506401_K17	51.024366763364874	53.0	43.0	43	20.0	2.210209
HP1506401_K18	43.74995915433127	50.0	43.0	43	10.0	0.15301499999999998
HP1506401_K19	22.484983734570875	54.0	43.0	43	10.0	0.347242
HP1506401_K2	39.405284541087916	52.0	43.0	43	10.0	0.9995919999999999
HP1506401_K20	18.02335715530765	55.0	43.0	43	20.0	0.005737
HP1506401_K21	49.58714971141106	53.0	43.0	43	10.0	1.2773679999999998
HP1506401_K22	35.67153352796082	56.0	43.0	43	10.0	0.178894
HP1506401_K23	41.19391556500817	51.0	43.0	43	10.0	0.816662
HP1506401_K24	55.10115978227312	42.0	43.0	43	50.0	0.46032799999999996
HP1506401_K3	30.373001776198933	42.0	43.0	43	40.0	0.011823
