symbol,name,summary,GO_BP,GO_MF,GO_CC
GCK,glucokinase,"This gene encodes a member of the hexokinase family of proteins. Hexokinases phosphorylate glucose to produce glucose-6-phosphate, the first step in most glucose metabolism pathways. In contrast to other forms of hexokinase, this enzyme is not inhibited by its product glucose-6-phosphate but remains active while glucose is abundant. The use of multiple promoters and alternative splicing of this gene result in distinct protein isoforms that exhibit tissue-specific expression in the pancreas and liver. In the pancreas, this enzyme plays a role in glucose-stimulated insulin secretion, while in the liver, this enzyme is important in glucose uptake and conversion to glycogen. Mutations in this gene that alter enzyme activity have been associated with multiple types of diabetes and hyperinsulinemic hypoglycemia. [provided by RefSeq, Aug 2017].",intracellular glucose homeostasis; intracellular glucose homeostasis; intracellular glucose homeostasis; carbohydrate metabolic process; glucose metabolic process; glucose metabolic process; glucose catabolic process; glycolytic process; glycolytic process; regulation of glycolytic process; NADP metabolic process; response to glucose; hexose metabolic process; positive regulation of insulin secretion; positive regulation of insulin secretion; cellular response to insulin stimulus; glucose homeostasis; glucose homeostasis; regulation of potassium ion transport; cellular response to leptin stimulus; negative regulation of gluconeogenesis; positive regulation of glycogen biosynthetic process; carbohydrate phosphorylation; regulation of insulin secretion; regulation of insulin secretion; regulation of insulin secretion; glucose 6-phosphate metabolic process; glucose 6-phosphate metabolic process; canonical glycolysis; calcium ion import,"nucleotide binding; catalytic activity; glucokinase activity; glucokinase activity; glucokinase activity; glucokinase activity; glucokinase activity; hexokinase activity; protein binding; ATP binding; ATP binding; D-glucose binding; D-glucose binding; fructokinase activity; fructokinase activity; kinase activity; transferase activity; phosphotransferase activity, alcohol group as acceptor; mannokinase activity; mannokinase activity; glucose sensor activity",nucleus; nucleoplasm; cytoplasm; mitochondrion; mitochondrion; cytosol; cytosol; cytosol; cytosol
PAX5,paired box 5,"This gene encodes a member of the paired box (PAX) family of transcription factors. The central feature of this gene family is a novel, highly conserved DNA-binding motif, known as the paired box. Paired box transcription factors are important regulators in early development, and alterations in the expression of their genes are thought to contribute to neoplastic transformation. This gene encodes the B-cell lineage specific activator protein that is expressed at early, but not late stages of B-cell differentiation. Its expression has also been detected in developing CNS and testis and so the encoded protein may also play a role in neural development and spermatogenesis. This gene is located at 9p13, which is involved in t(9;14)(p13;q32) translocations recurring in small lymphocytic lymphomas of the plasmacytoid subtype, and in derived large-cell lymphomas. This translocation brings the potent E-mu enhancer of the IgH gene into close proximity of the PAX5 promoter, suggesting that the deregulation of transcription of this gene contributes to the pathogenesis of these lymphomas. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2013].",negative regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; transcription by RNA polymerase II; spermatogenesis; nervous system development; nervous system development; sensory organ development; lateral ventricle development; cerebral cortex development; cell differentiation; B cell differentiation; adult behavior; skeletal muscle cell differentiation; positive regulation of transcription by RNA polymerase II; embryonic cranial skeleton morphogenesis,"RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA binding; DNA-binding transcription factor activity; protein binding",chromatin; nucleus; nucleoplasm; nucleoplasm
SLC30A8,solute carrier family 30 member 8,"The protein encoded by this gene is a zinc efflux transporter involved in the accumulation of zinc in intracellular vesicles. This gene is expressed at a high level only in the pancreas, particularly in islets of Langerhans. The encoded protein colocalizes with insulin in the secretory pathway granules of the insulin-secreting INS-1 cells. Allelic variants of this gene exist that confer susceptibility to diabetes mellitus, noninsulin-dependent (NIDDM). Several transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Mar 2010].",monoatomic ion transport; monoatomic cation transport; zinc ion transport; zinc ion transport; intracellular zinc ion homeostasis; intracellular zinc ion homeostasis; response to glucose; response to glucose; response to glucose; response to zinc ion; insulin processing; insulin processing; insulin secretion; insulin secretion; insulin secretion; positive regulation of insulin secretion; positive regulation of insulin secretion; response to type II interferon; glucose homeostasis; transmembrane transport; regulation of vesicle-mediated transport; regulation of vesicle-mediated transport; zinc ion import into organelle; zinc ion import into organelle; response to interleukin-1; zinc ion transmembrane transport; zinc ion transmembrane transport; zinc ion import across plasma membrane; zinc ion import across plasma membrane,zinc ion transmembrane transporter activity; zinc ion transmembrane transporter activity; zinc ion transmembrane transporter activity; zinc ion transmembrane transporter activity; protein binding; zinc ion binding; monoatomic cation transmembrane transporter activity; antiporter activity; protein homodimerization activity; protein homodimerization activity; metal ion binding; zinc:proton antiporter activity,Golgi membrane; Golgi apparatus; plasma membrane; plasma membrane; plasma membrane; membrane; secretory granule; secretory granule; transport vesicle membrane; secretory granule membrane; secretory granule membrane; secretory granule membrane; cytoplasmic vesicle; cytoplasmic vesicle; intracellular membrane-bounded organelle
IRS1,insulin receptor substrate 1,"This gene encodes a protein which is phosphorylated by insulin receptor tyrosine kinase. Mutations in this gene are associated with type II diabetes and susceptibility to insulin resistance. [provided by RefSeq, Nov 2009].",signal transduction; signal transduction; positive regulation of cell population proliferation; insulin receptor signaling pathway; insulin receptor signaling pathway; insulin receptor signaling pathway; insulin receptor signaling pathway; insulin receptor signaling pathway; positive regulation of glucose metabolic process; cytokine-mediated signaling pathway; positive regulation of fatty acid beta-oxidation; response to insulin; cellular response to insulin stimulus; glucose homeostasis; phosphatidylinositol 3-kinase/protein kinase B signal transduction; positive regulation of glycogen biosynthetic process; positive regulation of glycogen biosynthetic process; positive regulation of D-glucose import; positive regulation of D-glucose import; negative regulation of insulin receptor signaling pathway; positive regulation of insulin receptor signaling pathway; positive regulation of insulin receptor signaling pathway; negative regulation of insulin secretion; insulin-like growth factor receptor signaling pathway; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; cellular response to fatty acid,phosphotyrosine residue binding; transmembrane receptor protein tyrosine kinase adaptor activity; transmembrane receptor protein tyrosine kinase adaptor activity; protein kinase C binding; insulin receptor binding; insulin receptor binding; insulin receptor binding; insulin-like growth factor receptor binding; protein binding; signaling receptor complex adaptor activity; signaling adaptor activity; SH2 domain binding; phosphatidylinositol 3-kinase binding; phosphatidylinositol 3-kinase binding; phosphatidylinositol 3-kinase binding,nucleus; nucleus; nucleoplasm; cytoplasm; cytoplasm; cytoplasm; cytosol; cytosol; cytosol; plasma membrane; plasma membrane; plasma membrane; insulin receptor complex; caveola; intracellular membrane-bounded organelle; intracellular membrane-bounded organelle
CDKAL1,CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase,"The protein encoded by this gene is a member of the methylthiotransferase family. The function of this gene is not known. Genome-wide association studies have linked single nucleotide polymorphisms in an intron of this gene with susceptibilty to type 2 diabetes. [provided by RefSeq, May 2010].",tRNA modification; tRNA processing; biological_process; tRNA methylthiolation; tRNA methylthiolation; tRNA methylthiolation; maintenance of translational fidelity,"catalytic activity; protein binding; transferase activity; methylthiotransferase activity; tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase activity; tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase activity; metal ion binding; iron-sulfur cluster binding; 4 iron, 4 sulfur cluster binding",endoplasmic reticulum; endoplasmic reticulum; endoplasmic reticulum membrane; endoplasmic reticulum membrane; rough endoplasmic reticulum; membrane; membrane
SREBF1,sterol regulatory element binding transcription factor 1,"This gene encodes a basic helix-loop-helix-leucine zipper (bHLH-Zip) transcription factor that binds to the sterol regulatory element-1 (SRE1), which is a motif that is found in the promoter of the low density lipoprotein receptor gene and other genes involved in sterol biosynthesis. The encoded protein is synthesized as a precursor that is initially attached to the nuclear membrane and endoplasmic reticulum. Following cleavage, the mature protein translocates to the nucleus and activates transcription. This cleaveage is inhibited by sterols. This gene is located within the Smith-Magenis syndrome region on chromosome 17. Alternative promoter usage and splicing result in multiple transcript variants, including SREBP-1a and SREBP-1c, which correspond to RefSeq transcript variants 2 and 3, respectively. [provided by RefSeq, Nov 2017].",negative regulation of transcription by RNA polymerase II; regulation of heart rate by chemical signal; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; regulation of transcription by RNA polymerase II; regulation of transcription by RNA polymerase II; transcription by RNA polymerase II; lipid metabolic process; lipid metabolic process; cholesterol biosynthetic process; response to nutrient; circadian rhythm; steroid metabolic process; cholesterol metabolic process; insulin receptor signaling pathway; lipid biosynthetic process; lipid biosynthetic process; lipid biosynthetic process; cellular response to starvation; cellular response to starvation; response to xenobiotic stimulus; response to glucose; response to fructose; positive regulation of triglyceride biosynthetic process; positive regulation of triglyceride biosynthetic process; regulation of lipid storage; regulation of fatty acid metabolic process; insulin secretion; lung development; intracellular receptor signaling pathway; regulation of protein stability; response to food; response to retinoic acid; response to progesterone; cellular response to insulin stimulus; SREBP signaling pathway; SREBP signaling pathway; response to glucagon; response to lipid; mRNA transcription by RNA polymerase II; response to peptide hormone; fat cell differentiation; response to ethanol; positive regulation of cholesterol biosynthetic process; positive regulation of cholesterol biosynthetic process; positive regulation of cholesterol biosynthetic process; positive regulation of DNA-templated transcription; positive regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II; negative regulation of insulin secretion; regulation of insulin secretion; response to cAMP; response to fatty acid; cellular response to fatty acid; negative regulation of triglyceride metabolic process; regulation of mitophagy; positive regulation of miRNA transcription; regulation of protein targeting to mitochondrion,"RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity, RNA polymerase II-specific; transcription coregulator binding; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA binding; DNA binding; chromatin binding; DNA-binding transcription factor activity; nuclear receptor activity; protein binding; protein kinase binding; sterol response element binding; sequence-specific DNA binding; protein-containing complex binding; protein dimerization activity; sequence-specific double-stranded DNA binding",Golgi membrane; Golgi membrane; chromatin; nucleus; nucleus; nucleus; nucleus; nucleus; nuclear envelope; nucleoplasm; nucleoplasm; cytoplasm; cytoplasm; endoplasmic reticulum; endoplasmic reticulum; endoplasmic reticulum membrane; endoplasmic reticulum membrane; Golgi apparatus; cytosol; ER to Golgi transport vesicle membrane; membrane; cytoplasmic vesicle; protein-containing complex
JAZF1,JAZF zinc finger 1,"This gene encodes a nuclear protein with three C2H2-type zinc fingers, and functions as a transcriptional repressor. Chromosomal aberrations involving this gene are associated with endometrial stromal tumors. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized [provided by RefSeq, Jul 2008].",negative regulation of transcription by RNA polymerase II; lipid metabolic process,transcription corepressor activity; protein binding; zinc ion binding; metal ion binding,fibrillar center; nucleus; nucleus; nucleoplasm; cytosol; transcription repressor complex
GLIS3,GLIS family zinc finger 3,"This gene is a member of the GLI-similar zinc finger protein family and encodes a nuclear protein with five C2H2-type zinc finger domains. This protein functions as both a repressor and activator of transcription and is specifically involved in the development of pancreatic beta cells, the thyroid, eye, liver and kidney. Mutations in this gene have been associated with neonatal diabetes and congenital hypothyroidism (NDH). Alternatively spliced variants that encode different protein isoforms have been described but the full-length nature of only two have been determined. [provided by RefSeq, Jul 2008].",negative regulation of transcription by RNA polymerase II; regulation of transcription by RNA polymerase II; regulation of transcription by RNA polymerase II; transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II,"RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA binding; protein binding; zinc ion binding; metal ion binding",nucleus; nucleus; nucleus
ZNRF3,zinc and ring finger 3,"Enables frizzled binding activity and ubiquitin-protein transferase activity. Involved in cellular protein metabolic process and negative regulation of Wnt signaling pathway. Is integral component of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]","ubiquitin-dependent protein catabolic process; ubiquitin-dependent protein catabolic process; Wnt signaling pathway; protein ubiquitination; protein ubiquitination; negative regulation of Wnt signaling pathway; Wnt receptor catabolic process; Wnt receptor catabolic process; Wnt receptor catabolic process; limb development; regulation of canonical Wnt signaling pathway; stem cell proliferation; stem cell proliferation; negative regulation of canonical Wnt signaling pathway; negative regulation of canonical Wnt signaling pathway; negative regulation of non-canonical Wnt signaling pathway; regulation of Wnt signaling pathway, planar cell polarity pathway",ubiquitin-protein transferase activity; frizzled binding; frizzled binding; protein binding; zinc ion binding; transferase activity; metal ion binding; ubiquitin protein ligase activity; ubiquitin protein ligase activity,plasma membrane; plasma membrane; plasma membrane; plasma membrane; membrane
SLC16A11,solute carrier family 16 member 11,"Enables pyruvate transmembrane transporter activity. Involved in lipid metabolic process. Located in endoplasmic reticulum membrane and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]",lipid metabolic process; lipid metabolic process; monocarboxylic acid transport; transmembrane transport; pyruvate transmembrane transport,protein binding; monocarboxylic acid transmembrane transporter activity; symporter activity; transmembrane transporter activity; pyruvate transmembrane transporter activity,endoplasmic reticulum; endoplasmic reticulum membrane; endoplasmic reticulum membrane; plasma membrane; plasma membrane; plasma membrane; membrane
KCNJ11,potassium inwardly rectifying channel subfamily J member 11,"Potassium channels are present in most mammalian cells, where they participate in a wide range of physiologic responses. The protein encoded by this gene is an integral membrane protein and inward-rectifier type potassium channel. The encoded protein, which has a greater tendency to allow potassium to flow into a cell rather than out of a cell, is controlled by G-proteins and is found associated with the sulfonylurea receptor SUR. Mutations in this gene are a cause of familial persistent hyperinsulinemic hypoglycemia of infancy (PHHI), an autosomal recessive disorder characterized by unregulated insulin secretion. Defects in this gene may also contribute to autosomal dominant non-insulin-dependent diabetes mellitus type II (NIDDM), transient neonatal diabetes mellitus type 3 (TNDM3), and permanent neonatal diabetes mellitus (PNDM). Multiple alternatively spliced transcript variants that encode different protein isoforms have been described for this gene. [provided by RefSeq, Oct 2009].",action potential; response to hypoxia; response to ischemia; ventricular cardiac muscle tissue development; glucose metabolic process; monoatomic ion transport; potassium ion transport; apoptotic process; response to stress; determination of adult lifespan; response to xenobiotic stimulus; cellular response to nutrient levels; response to ATP; monoatomic ion transmembrane transport; regulation of monoatomic ion transmembrane transport; regulation of membrane potential; negative regulation of insulin secretion; negative regulation of insulin secretion; regulation of insulin secretion; regulation of insulin secretion; nervous system process; CAMKK-AMPK signaling cascade; potassium ion transmembrane transport; inorganic cation transmembrane transport; regulation of presynaptic membrane potential; response to resveratrol; potassium ion import across plasma membrane; potassium ion import across plasma membrane; potassium ion import across plasma membrane; potassium ion import across plasma membrane; potassium ion import across plasma membrane,nucleotide binding; inward rectifier potassium channel activity; voltage-gated potassium channel activity; protein binding; ATP binding; ATP binding; ATP binding; ATP-activated inward rectifier potassium channel activity; ATP-activated inward rectifier potassium channel activity; ATP-activated inward rectifier potassium channel activity; ATP-activated inward rectifier potassium channel activity; ATPase-coupled monoatomic cation transmembrane transporter activity; ankyrin binding; ankyrin binding; potassium ion binding; transmembrane transporter binding; metal ion binding; voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential; voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential; voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential,cytoplasm; plasma membrane; plasma membrane; plasma membrane; plasma membrane; inward rectifying potassium channel; inward rectifying potassium channel; inward rectifying potassium channel; inward rectifying potassium channel; inward rectifying potassium channel; membrane; T-tubule; T-tubule; monoatomic ion channel complex
